locus_id	chrom	start	end	gene	splice_score	strand	flag	recount_sources
CADM3_159193330	chr1	159193330	159193331	CADM3	0.039355	+	1	GTEX,SRA,TCGA
SLAMF8_159834242	chr1	159834242	159834243	SLAMF8	0.039881	+	1	GTEX,SRA,TCGA
SLAMF8_159834246	chr1	159834246	159834247	SLAMF8	0.008444	+	1	GTEX,SRA,TCGA
COPA_160306887	chr1	160306887	160306888	COPA	0.065954	-	1	GTEX,SRA,TCGA
COPA_160312868	chr1	160312868	160312869	COPA	0.057966	-	1	GTEX,SRA,TCGA
NECTIN4_161074967	chr1	161074967	161074968	NECTIN4	0.029281	-	1	GTEX,SRA,TCGA
NECTIN4_161074969	chr1	161074969	161074970	NECTIN4	0.006686	-	1	GTEX,SRA,TCGA
DUSP12_161756133	chr1	161756133	161756134	DUSP12	0.063769	+	1	GTEX,SRA,TCGA
SLC19A2_169476414	chr1	169476414	169476415	SLC19A2	0.173153	-	1	GTEX,SRA,TCGA
MROH9_170990630	chr1	170990630	170990631	MROH9	0.056376	+	1	GTEX,SRA,TCGA
SERPINC1_173916406	chr1	173916406	173916407	SERPINC1	0.087290	-	1	GTEX,SRA,TCGA
BRINP2_177275179	chr1	177275179	177275180	BRINP2	0.060866	+	1	GTEX,SRA,TCGA
FAM20B_179064217	chr1	179064217	179064218	FAM20B	0.309982	+	1	GTEX,SRA,TCGA
FAM20B_179064221	chr1	179064221	179064222	FAM20B	0.234561	+	1	GTEX,SRA,TCGA
TOR1AIP2_179848224	chr1	179848224	179848225	TOR1AIP2	0.073078	-	1	GTEX,SRA,TCGA
QSOX1_180183285	chr1	180183285	180183286	QSOX1	0.171388	+	1	GTEX,SRA,TCGA
STX6_181005219	chr1	181005219	181005220	STX6	0.013105	-	1	GTEX,SRA,TCGA
CACNA1E_181720204	chr1	181720204	181720205	CACNA1E	0.003110	+	1	GTEX,SRA,TCGA
DHX9_182855727	chr1	182855727	182855728	DHX9	0.019176	+	1	GTEX,SRA,TCGA
RGL1_183883105	chr1	183883105	183883106	RGL1	0.100581	+	1	GTEX,SRA,TCGA
TRMT1L_185137441	chr1	185137441	185137442	TRMT1L	0.169345	-	1	GTEX,SRA,TCGA
TPR_186326410	chr1	186326410	186326411	TPR	0.085541	-	1	GTEX,SRA,TCGA
PLA2G4A_186949022	chr1	186949022	186949023	PLA2G4A	0.211583	+	1	GTEX,SRA,TCGA
NAV1_201786427	chr1	201786427	201786428	NAV1	0.346556	+	1	GTEX,SRA,TCGA
RNPEP_202000383	chr1	202000383	202000384	RNPEP	0.026137	+	1	GTEX,SRA,TCGA
LGR6_202308141	chr1	202308141	202308142	LGR6	0.185300	+	1	GTEX,SRA,TCGA
SOX13_204113255	chr1	204113255	204113256	SOX13	0.095489	+	1	GTEX,SRA,TCGA
PIK3C2B_204450853	chr1	204450853	204450854	PIK3C2B	0.181200	-	1	GTEX,SRA,TCGA
NUAK2_205305430	chr1	205305430	205305431	NUAK2	0.018302	-	1	GTEX,SRA,TCGA
SLC26A9_205917852	chr1	205917852	205917853	SLC26A9	0.022542	-	1	GTEX,SRA,TCGA
CR1_207634761	chr1	207634761	207634762	CR1	0.132658	+	1	GTEX,SRA,TCGA
TRAF5_211366489	chr1	211366489	211366490	TRAF5	0.287396	+	1	GTEX,SRA,TCGA
NEK2_211669543	chr1	211669543	211669544	NEK2	0.326252	-	1	GTEX,SRA,TCGA
TATDN3_212815011	chr1	212815011	212815012	TATDN3	0.360223	+	1	GTEX,SRA,TCGA
VASH2_212961363	chr1	212961363	212961364	VASH2	0.064504	+	1	GTEX,SRA,TCGA
EPRS_220013748	chr1	220013748	220013749	EPRS	0.022897	-	1	GTEX,SRA,TCGA
LINC01352_220831140	chr1	220831140	220831141	LINC01352	0.138302	+	1	GTEX,SRA
MIA3_222623350	chr1	222623350	222623351	MIA3	0.159554	+	1	GTEX,SRA,TCGA
DISP1_222989523	chr1	222989523	222989524	DISP1	0.040577	+	1	GTEX,SRA,TCGA
CAPN8_223622900	chr1	223622900	223622901	CAPN8	0.035389	-	1	GTEX,SRA,TCGA
CAPN9_230772012	chr1	230772012	230772013	CAPN9	0.203646	+	1	GTEX,SRA,TCGA
TTC13_230928055	chr1	230928055	230928056	TTC13	0.046993	-	1	GTEX,SRA,TCGA
TTC13_230934852	chr1	230934852	230934853	TTC13	0.076074	-	1	GTEX,SRA,TCGA
SPRTN_231348158	chr1	231348158	231348159	SPRTN	0.058643	+	1	GTEX,SRA,TCGA
EGLN1_231370698	chr1	231370698	231370699	EGLN1	0.147126	-	1	GTEX,SRA,TCGA
TARBP1_234400230	chr1	234400230	234400231	TARBP1	0.046527	-	1	GTEX,SRA,TCGA
NID1_236043114	chr1	236043114	236043115	NID1	0.099249	-	1	GTEX,SRA,TCGA
ERO1B_236247235	chr1	236247235	236247236	ERO1B	0.207774	-	1	GTEX,SRA,TCGA
RYR2_237726934	chr1	237726934	237726935	RYR2	0.074883	+	1	GTEX,SRA,TCGA
EXO1_241852101	chr1	241852101	241852102	EXO1	0.149942	+	1	GTEX,SRA,TCGA
EXO1_241866730	chr1	241866730	241866731	EXO1	0.008492	+	1	GTEX,SRA,TCGA
ADSS_244430030	chr1	244430030	244430031	ADSS	0.061497	-	1	GTEX,SRA,TCGA
SMYD3_245929511	chr1	245929511	245929512	SMYD3	0.262114	-	1	GTEX,SRA,TCGA
WDR37_1074967	chr10	1074967	1074968	WDR37	0.068941	+	1	GTEX,SRA,TCGA
UPF2_11952375	chr10	11952375	11952376	UPF2	0.317904	-	1	GTEX,SRA,TCGA
CDNF_14837155	chr10	14837155	14837156	CDNF	0.226295	-	1	GTEX,SRA,TCGA
ANKRD26_27051052	chr10	27051052	27051053	ANKRD26	0.016152	-	1	GTEX,SRA,TCGA
MKX_27744020	chr10	27744020	27744021	MKX	0.005736	-	1	GTEX,SRA,TCGA
SVIL_29470483	chr10	29470483	29470484	SVIL	0.553151	-	1	GTEX,SRA,TCGA
CCDC7_32469746	chr10	32469746	32469747	CCDC7	0.209794	+	1	GTEX,SRA,TCGA
BMS1_42818075	chr10	42818075	42818076	BMS1	0.338172	+	1	GTEX,SRA,TCGA
RET_43105727	chr10	43105727	43105728	RET	0.139005	+	1	GTEX,SRA,TCGA
RASSF4_44990084	chr10	44990084	44990085	RASSF4	0.056433	+	1	GTEX,SRA,TCGA
MSMB_46042473	chr10	46042473	46042474	MSMB	0.045047	-	1	GTEX,SRA,TCGA
ANTXRL_46307638	chr10	46307638	46307639	ANTXRL	0.204256	+	1	GTEX,SRA,TCGA
PARG_49934386	chr10	49934386	49934387	PARG	0.438460	-	1	GTEX,SRA,TCGA
NRBF2_63146425	chr10	63146425	63146426	NRBF2	0.047584	+	1	GTEX,SRA,TCGA
JMJD1C_63202128	chr10	63202128	63202129	JMJD1C	0.129336	-	1	GTEX,SRA,TCGA
MYPN_68199366	chr10	68199366	68199367	MYPN	0.165619	+	1	GTEX,SRA,TCGA
DNA2_68433837	chr10	68433837	68433838	DNA2	0.358196	-	1	GTEX,SRA,TCGA
TET1_68648336	chr10	68648336	68648337	TET1	0.215202	+	1	GTEX,SRA,TCGA
DDX50_68907969	chr10	68907969	68907970	DDX50	0.024244	+	1	GTEX,SRA,TCGA
KIF1BP_68995278	chr10	68995278	68995279	KIF1BP	0.151970	+	1	GTEX,SRA,TCGA
SUPV3L1_69189265	chr10	69189265	69189266	SUPV3L1	0.004406	+	1	GTEX,SRA,TCGA
ADAMTS14_70753798	chr10	70753798	70753799	ADAMTS14	0.136518	+	1	GTEX,SRA,TCGA
VSIR_71755015	chr10	71755015	71755016	VSIR	0.150244	-	1	GTEX,SRA,TCGA
DNAJC9_73246438	chr10	73246438	73246439	DNAJC9	0.024889	-	1	GTEX,SRA,TCGA
PPP3CB_73477157	chr10	73477157	73477158	PPP3CB	0.390897	-	1	GTEX,SRA,TCGA
PPIF_79350523	chr10	79350523	79350524	PPIF	0.595724	+	1	GTEX,SRA,TCGA
MMRN2_86945476	chr10	86945476	86945477	MMRN2	0.220164	-	1	GTEX,SRA,TCGA
ATAD1_87754957	chr10	87754957	87754958	ATAD1	0.013188	-	1	GTEX,SRA,TCGA
ATAD1_87755242	chr10	87755242	87755243	ATAD1	0.037028	-	1	GTEX,SRA,TCGA
LIPJ_88595403	chr10	88595403	88595404	LIPJ	0.026535	+	1	GTEX,SRA,TCGA
LIPF_88665562	chr10	88665562	88665563	LIPF	0.036682	+	1	GTEX,SRA,TCGA
LIPK_88743721	chr10	88743721	88743722	LIPK	0.042437	+	1	GTEX,SRA,TCGA
RPP30_90876359	chr10	90876359	90876360	RPP30	0.152068	+	1	GTEX,SRA,TCGA
TNKS2_91830093	chr10	91830093	91830094	TNKS2	0.064902	+	1	GTEX,SRA,TCGA
EXOC6_93057916	chr10	93057916	93057917	EXOC6	0.025872	+	1	GTEX,SRA,TCGA
NOC3L_94361318	chr10	94361318	94361319	NOC3L	0.208382	-	1	GTEX,SRA,TCGA
CYP2C18_94733612	chr10	94733612	94733613	CYP2C18	0.078109	+	1	GTEX,SRA,TCGA
ALDH18A1_95626994	chr10	95626994	95626995	ALDH18A1	0.021984	-	1	SRA
PYROXD2_98393083	chr10	98393083	98393084	PYROXD2	0.272855	-	1	GTEX,SRA,TCGA
PYROXD2_98394971	chr10	98394971	98394972	PYROXD2	0.160770	-	1	GTEX,SRA,TCGA
NKX2-3_99533646	chr10	99533646	99533647	NKX2-3	0.280597	+	1	GTEX,SRA,TCGA
ENTPD7_99701564	chr10	99701564	99701565	ENTPD7	0.083478	+	1	GTEX,SRA,TCGA
ABCC2_99796857	chr10	99796857	99796858	ABCC2	0.218712	+	3	GTEX,SRA,TCGA
SCD_100348406	chr10	100348406	100348407	SCD	0.041120	+	1	GTEX,SRA,TCGA
SCD_100352867	chr10	100352867	100352868	SCD	0.068535	+	1	GTEX,SRA,TCGA
BTRC_101535352	chr10	101535352	101535353	BTRC	0.336802	+	1	GTEX,SRA,TCGA
MFSD13A_102469882	chr10	102469882	102469883	MFSD13A	0.128110	+	1	GTEX,SRA,TCGA
PDCD11_103413114	chr10	103413114	103413115	PDCD11	0.111204	+	1	GTEX,SRA,TCGA
NEURL1_103585355	chr10	103585355	103585356	NEURL1	0.341322	+	1	GTEX,SRA,TCGA
CFAP43_104181309	chr10	104181309	104181310	CFAP43	0.296390	-	1	GTEX,SRA,TCGA
GSTO1_104257482	chr10	104257482	104257483	GSTO1	0.583430	+	1	GTEX,SRA,TCGA
CFAP58_104370596	chr10	104370596	104370597	CFAP58	0.174482	+	1	GTEX,SRA,TCGA
CFAP58_104450822	chr10	104450822	104450823	CFAP58	0.010292	+	1	GTEX,SRA,TCGA
ADD3_110119010	chr10	110119010	110119011	ADD3	0.000707	+	1	GTEX,SRA,TCGA
GPAM_112160314	chr10	112160314	112160315	GPAM	0.073983	-	1	GTEX,SRA,TCGA
NRAP_113631274	chr10	113631274	113631275	NRAP	0.093361	-	1	GTEX,SRA
ABLIM1_114450140	chr10	114450140	114450141	ABLIM1	0.362728	-	1	GTEX,SRA,TCGA
PNLIPRP3_116443244	chr10	116443244	116443245	PNLIPRP3	0.004378	+	1	GTEX,SRA,TCGA
PNLIP_116553564	chr10	116553564	116553565	PNLIP	0.268340	+	1	GTEX,SRA,TCGA
PNLIP_116555071	chr10	116555071	116555072	PNLIP	0.417505	+	1	GTEX,SRA,TCGA
EIF3A_119059981	chr10	119059981	119059982	EIF3A	0.071633	-	1	GTEX,SRA,TCGA
PLPP4_120520745	chr10	120520745	120520746	PLPP4	0.157924	+	1	GTEX,SRA,TCGA
PLPP4_120520749	chr10	120520749	120520750	PLPP4	0.091568	+	1	GTEX,SRA,TCGA
BTBD16_122336880	chr10	122336880	122336881	BTBD16	0.084632	+	1	GTEX,SRA,TCGA
PLEKHA1_122428502	chr10	122428502	122428503	PLEKHA1	0.002428	+	1	GTEX,SRA,TCGA
CPXM2_123768722	chr10	123768722	123768723	CPXM2	0.082204	-	1	GTEX,SRA,TCGA
ZRANB1_124970776	chr10	124970776	124970777	ZRANB1	0.042486	+	1	GTEX,SRA,TCGA
FANK1_125996138	chr10	125996138	125996139	FANK1	0.053777	+	1	GTEX,SRA,TCGA
ADAM8_133268996	chr10	133268996	133268997	ADAM8	0.032552	-	1	GTEX,SRA,TCGA
CALY_133327348	chr10	133327348	133327349	CALY	0.182858	-	1	GTEX,SRA,TCGA
LRRC56_551901	chr11	551901	551902	LRRC56	0.051313	+	1	GTEX,SRA,TCGA
DRD4_639646	chr11	639646	639647	DRD4	0.106641	+	1	GTEX,SRA,TCGA
EPS8L2_721461	chr11	721461	721462	EPS8L2	0.020579	+	1	GTEX,SRA,TCGA
MUC5AC_1200436	chr11	1200436	1200437	MUC5AC	0.086429	+	1	GTEX,SRA,TCGA
TSPAN32_2311036	chr11	2311036	2311037	TSPAN32	0.321739	+	1	GTEX,SRA,TCGA
RRP8_6603183	chr11	6603183	6603184	RRP8	0.086387	-	1	GTEX,SRA,TCGA
DCHS1_6624868	chr11	6624868	6624869	DCHS1	0.050930	-	1	GTEX,SRA,TCGA
ST5_8699598	chr11	8699598	8699599	ST5	0.036194	-	1	GTEX,SRA,TCGA
DKK3_11966593	chr11	11966593	11966594	DKK3	0.072955	-	1	GTEX,SRA,TCGA
ABCC8_17397819	chr11	17397819	17397820	ABCC8	0.028050	-	1	GTEX
UEVLD_18566539	chr11	18566539	18566540	UEVLD	0.034126	-	1	GTEX,SRA,TCGA
PRMT3_20392756	chr11	20392756	20392757	PRMT3	0.003008	+	1	GTEX,SRA,TCGA
SLC17A6_22342276	chr11	22342276	22342277	SLC17A6	0.044964	+	1	GTEX,SRA
DNAJC24_31429879	chr11	31429879	31429880	DNAJC24	0.244311	+	1	GTEX,SRA,TCGA
CD44_35177653	chr11	35177653	35177654	CD44	0.340883	+	1	GTEX,SRA,TCGA
ALKBH3_43882883	chr11	43882883	43882884	ALKBH3	0.015659	+	1	GTEX,SRA,TCGA
LARGE2_45926037	chr11	45926037	45926038	LARGE2	0.168068	+	1	GTEX,SRA,TCGA
F2_46723178	chr11	46723178	46723179	F2	0.076091	+	2	GTEX,SRA,TCGA
NUP160_47837623	chr11	47837623	47837624	NUP160	0.209586	-	1	GTEX,SRA,TCGA
PTPRJ_48159006	chr11	48159006	48159007	PTPRJ	0.175629	+	1	GTEX,SRA,TCGA
LPXN_58527819	chr11	58527819	58527820	LPXN	0.037922	-	1	GTEX,SRA,TCGA
PATL1_59657079	chr11	59657079	59657080	PATL1	0.071684	-	1	GTEX,SRA,TCGA
STX3_59794610	chr11	59794610	59794611	STX3	0.471306	+	1	GTEX,SRA,TCGA
MS4A8_60715308	chr11	60715308	60715309	MS4A8	0.250365	+	1	GTEX,SRA,TCGA
MS4A15_60773390	chr11	60773390	60773391	MS4A15	0.297519	+	1	GTEX,SRA,TCGA
DAGLA_61739297	chr11	61739297	61739298	DAGLA	0.060565	+	1	GTEX,SRA,TCGA
LGALS12_63512012	chr11	63512012	63512013	LGALS12	0.016053	+	1	GTEX,SRA,TCGA
CCDC88B_64341597	chr11	64341597	64341598	CCDC88B	0.092987	+	1	GTEX,SRA,TCGA
ARL2_65020323	chr11	65020323	65020324	ARL2	0.022798	+	1	GTEX,SRA,TCGA
SIPA1_65647225	chr11	65647225	65647226	SIPA1	0.444192	+	1	GTEX,SRA,TCGA
C11orf68_65918709	chr11	65918709	65918710	C11orf68	0.238915	-	1	GTEX,SRA,TCGA
ANO1_70163281	chr11	70163281	70163282	ANO1	0.267390	+	1	GTEX,SRA,TCGA
PAAF1_73919404	chr11	73919404	73919405	PAAF1	0.014615	+	1	GTEX,SRA,TCGA
P4HA3_74267595	chr11	74267595	74267596	P4HA3	0.163331	-	1	GTEX,SRA,TCGA
SPCS2_74968027	chr11	74968027	74968028	SPCS2	0.115982	+	1	GTEX,SRA,TCGA
WNT11_76195254	chr11	76195254	76195255	WNT11	0.021694	-	1	GTEX,SRA,TCGA
MYO7A_77191781	chr11	77191781	77191782	MYO7A	0.215262	+	2	GTEX,SRA,TCGA
USP35_78198696	chr11	78198696	78198697	USP35	0.098508	+	1	GTEX,SRA,TCGA
USP35_78198717	chr11	78198717	78198718	USP35	0.101181	+	1	GTEX,SRA,TCGA
EED_86257019	chr11	86257019	86257020	EED	0.014221	+	1	GTEX,SRA,TCGA
CEP295_93702774	chr11	93702774	93702775	CEP295	0.046265	+	1	GTEX,SRA,TCGA
ANKRD49_94494657	chr11	94494657	94494658	ANKRD49	0.014982	+	1	GTEX,SRA,TCGA
COLCA2_111301998	chr11	111301998	111301999	COLCA2	0.314200	+	2	GTEX,SRA,TCGA
LAYN_111544433	chr11	111544433	111544434	LAYN	0.408055	+	1	GTEX,SRA,TCGA
LAYN_111555205	chr11	111555205	111555206	LAYN	0.179186	+	1	GTEX,SRA,TCGA
NXPE1_114530063	chr11	114530063	114530064	NXPE1	0.467902	-	1	GTEX,SRA,TCGA
IFT46_118545853	chr11	118545853	118545854	IFT46	0.174822	-	1	GTEX,SRA,TCGA
VPS11_119068375	chr11	119068375	119068376	VPS11	0.046263	+	1	GTEX,SRA,TCGA
NECTIN1_119678143	chr11	119678143	119678144	NECTIN1	0.312062	-	1	GTEX,SRA,TCGA
POU2F3_120243225	chr11	120243225	120243226	POU2F3	0.485851	+	1	GTEX,SRA,TCGA
POU2F3_120315359	chr11	120315359	120315360	POU2F3	0.163204	+	1	GTEX,SRA,TCGA
VSIG2_124751941	chr11	124751941	124751942	VSIG2	0.105540	-	1	GTEX,SRA,TCGA
ROBO4_124895685	chr11	124895685	124895686	ROBO4	0.124473	-	1	GTEX,SRA,TCGA
ETS1_128462975	chr11	128462975	128462976	ETS1	0.042387	-	1	GTEX,SRA,TCGA
ARHGAP32_129124287	chr11	129124287	129124288	ARHGAP32	0.080892	-	1	GTEX,SRA,TCGA
IGSF9B_133937493	chr11	133937493	133937494	IGSF9B	0.154013	-	1	GTEX,SRA,TCGA
