decoyID	intron_gc	site_gc_49nt
ACBD5_27205461	0.416750	0.367347
ACCSL_44052898	0.502164	0.551020
ACCS_44068439	0.473353	0.326531
ACCS_44071002	0.473353	0.469388
ACE2_15563833	0.377612	0.428571
ACE2_15580469	0.423752	0.346939
ACE2_15599754	0.396714	0.428571
ACER1_6312645	0.485615	0.489796
ACER2_19450354	0.399901	0.571429
ACER3_76863266	0.382195	0.469388
ACE_63483786	0.610345	0.632653
ACIN1_23070348	0.490378	0.469388
ACLY_41895362	0.514659	0.530612
ACLY_41911896	0.535363	0.612245
ACMSD_134862374	0.473837	0.346939
ACO2_41501304	0.491801	0.551020
ACO2_41516395	0.558732	0.673469
ACOT11_54593889	0.537481	0.530612
ACOT11_54603080	0.533159	0.530612
ACOT11_54603584	0.533159	0.591837
ACOT12_81368929	0.369084	0.346939
ACOT12_81388397	0.409631	0.428571
ACOT7_6319562	0.523395	0.387755
ACOT7_6333670	0.568213	0.612245
ACOT7_6335773	0.568213	0.673469
ACOX1_75948630	0.444005	0.530612
ACOX2_58512354	0.420171	0.448980
ACOX2_58529556	0.524851	0.510204
ACOX2_58532633	0.495711	0.571429
ACOX3_8371191	0.531567	0.489796
ACOX3_8388038	0.583609	0.612245
ACOX3_8388176	0.583609	0.612245
ACOX3_8394383	0.477378	0.551020
ACOXL_110786246	0.456871	0.448980
ACOXL_110790538	0.456871	0.510204
ACOXL_110800758	0.483732	0.591837
ACP1_270495	0.417614	0.244898
ACP2_47246037	0.504430	0.632653
ACP7_39106498	0.468294	0.428571
ACPP_132333492	0.401487	0.489796
ACRBP_6645574	0.505677	0.408163
ACSBG1_78175093	0.467596	0.612245
ACSBG1_78177998	0.467596	0.306122
ACSBG2_6183446	0.441516	0.571429
ACSBG2_6185064	0.441516	0.551020
ACSF3_89099071	0.521075	0.469388
ACSF3_89099548	0.521075	0.530612
ACSF3_89116342	0.583716	0.591837
ACSF3_89116421	0.583716	0.673469
ACSL1_184762721	0.519440	0.551020
ACSL1_184763553	0.405135	0.571429
ACSL1_184765330	0.455959	0.510204
ACSL1_184766027	0.508661	0.632653
ACSL1_184766335	0.508661	0.428571
ACSL1_184767818	0.458627	0.612245
ACSL1_184770047	0.407084	0.306122
ACSL1_184778597	0.457288	0.571429
ACSL1_184780637	0.442886	0.408163
ACSL3_222907196	0.412601	0.469388
ACSL3_222940410	0.362168	0.428571
ACSL6_131963648	0.480599	0.551020
ACSL6_131966201	0.480599	0.591837
ACSL6_131969885	0.402573	0.448980
ACSL6_131977547	0.482326	0.469388
ACSL6_131989049	0.557769	0.571429
ACSL6_131993534	0.532811	0.448980
ACSM3_20781588	0.339688	0.306122
ACSM4_7320407	0.387097	0.387755
ACSM5_20417887	0.368289	0.551020
ACSM6_95208638	0.383426	0.428571
ACSS1_25023877	0.455951	0.448980
ACSS1_25024190	0.455951	0.632653
ACSS2_34894624	0.433003	0.632653
ACSS2_34919201	0.444867	0.612245
ACSS3_81138931	0.327436	0.387755
ACSS3_81150016	0.349349	0.306122
ACTC1_34793605	0.430631	0.346939
ACTG2_73909457	0.417722	0.428571
ACTG2_73917777	0.448987	0.510204
ACTL6A_179569009	0.425142	0.367347
ACTL8_17824975	0.470124	0.591837
ACTN1_68893904	0.533051	0.571429
ACTN1_68896166	0.533051	0.530612
ACTN1_68898331	0.533051	0.428571
ACTN1_68903828	0.515774	0.673469
ACTN1_68912497	0.487504	0.571429
ACTN2_236741633	0.487957	0.387755
ACTN2_236742121	0.487957	0.612245
ACTN2_236760895	0.418775	0.387755
ACTN3_66550318	0.542128	0.530612
ACTN3_66555982	0.593308	0.571429
ACTN3_66560526	0.613027	0.571429
ACTN4_38700512	0.498159	0.693878
ACTN4_38707250	0.545088	0.408163
ACTN4_38707836	0.545088	0.489796
ACTN4_38710193	0.598718	0.714286
ACTR10_58217435	0.356090	0.551020
ACTR1A_102484553	0.524351	0.469388
ACTR3B_152834367	0.470837	0.612245
ACTR3_113916038	0.349015	0.408163
ACTR3_113942664	0.376686	0.326531
ACTR3_113948291	0.376686	0.530612
ACTR5_38749687	0.444637	0.469388
ACTR5_38750392	0.418826	0.469388
ACTR5_38751275	0.418826	0.367347
ACTR6_100206453	0.381648	0.387755
ACTR8_53869439	0.444147	0.244898
ACVR1B_51979710	0.448896	0.428571
ACVR1B_51982246	0.469096	0.530612
ACVR1B_51985835	0.458135	0.469388
ACVR1C_157552979	0.382632	0.469388
ACVR1_157737964	0.381137	0.387755
ACVR1_157774274	0.381435	0.510204
ACVR1_157778944	0.381143	0.448980
ACVR1_157780648	0.407893	0.306122
ACVR2A_147917976	0.292157	0.306122
ACVRL1_51912967	0.584369	0.469388
ACY3_67646440	0.584783	0.612245
ACYP2_54124411	0.399574	0.510204
ADAL_43331771	0.404808	0.428571
ADAL_43337414	0.399665	0.367347
ADAL_43339095	0.399665	0.408163
ADAM10_58640331	0.356748	0.448980
ADAM10_58641029	0.345299	0.469388
ADAM10_58645537	0.362235	0.346939
ADAM11_44779172	0.532176	0.551020
ADAM12_126040582	0.492521	0.387755
ADAM12_126045030	0.459050	0.653061
ADAM15_155059722	0.483842	0.428571
ADAM17_9502523	0.473520	0.469388
ADAM17_9504319	0.473520	0.591837
ADAM18_39639495	0.344426	0.346939
ADAM19_157481154	0.530457	0.571429
ADAM19_157493643	0.470510	0.551020
ADAM19_157506447	0.400962	0.408163
ADAM19_157507566	0.461111	0.591837
ADAM22_87966374	0.379499	0.346939
ADAM22_88126153	0.360639	0.367347
ADAM22_88128374	0.360639	0.448980
ADAM23_206543990	0.356518	0.489796
ADAM23_206549861	0.283333	0.265306
ADAM23_206568021	0.378695	0.551020
ADAM23_206571685	0.425137	0.469388
ADAM2_39768805	0.323832	0.448980
ADAM2_39769172	0.323832	0.265306
ADAM2_39823481	0.347592	0.367347
ADAM2_39830624	0.319699	0.367347
ADAM32_39161548	0.360979	0.306122
ADAM33_3671345	0.589041	0.489796
ADAM7_24466599	0.347996	0.326531
ADAM7_24471437	0.322911	0.489796
ADAM8_133271094	0.674419	0.632653
ADAM9_39072709	0.358001	0.469388
ADAMDEC1_24386831	0.376190	0.571429
ADAMDEC1_24394713	0.370865	0.469388
ADAMDEC1_24399602	0.378417	0.408163
ADAMTS10_8596702	0.558603	0.571429
ADAMTS10_8598656	0.501385	0.591837
ADAMTS12_33588852	0.406794	0.448980
ADAMTS12_33643192	0.436709	0.591837
ADAMTS12_33649903	0.379213	0.469388
ADAMTS13_133427120	0.496941	0.428571
ADAMTS13_133439649	0.552954	0.489796
ADAMTS13_133440780	0.575547	0.591837
ADAMTS13_133448471	0.466715	0.530612
ADAMTS14_70706618	0.520837	0.591837
ADAMTS14_70729545	0.520718	0.448980
ADAMTS14_70729837	0.520718	0.489796
ADAMTS14_70734289	0.553509	0.530612
ADAMTS14_70740403	0.476954	0.387755
ADAMTS14_70747712	0.512071	0.551020
ADAMTS14_70753798	0.564249	0.612245
ADAMTS15_130464222	0.492825	0.428571
ADAMTS15_130465676	0.492825	0.510204
ADAMTS15_130472838	0.539988	0.489796
ADAMTS16_5193322	0.421772	0.367347
ADAMTS16_5194548	0.421772	0.510204
ADAMTS16_5305656	0.511509	0.428571
ADAMTS16_5317947	0.490574	0.591837
ADAMTS17_100053009	0.490531	0.448980
ADAMTS17_100053022	0.490531	0.428571
ADAMTS17_100254373	0.474586	0.489796
ADAMTS17_100341565	0.805353	0.816327
ADAMTS17_99975991	0.525641	0.632653
ADAMTS17_99994083	0.487333	0.551020
ADAMTS18_77287184	0.440678	0.612245
ADAMTS18_77433238	0.414469	0.428571
ADAMTS18_77433491	0.414469	0.591837
ADAMTS19_129681734	0.348499	0.244898
ADAMTS20_43431730	0.389095	0.367347
ADAMTS20_43452753	0.298927	0.326531
ADAMTS2_179125518	0.614443	0.591837
ADAMTS2_179127334	0.617615	0.653061
ADAMTS2_179127904	0.617615	0.632653
ADAMTS2_179131824	0.576255	0.591837
ADAMTS2_179133142	0.558178	0.632653
ADAMTS2_179139510	0.623650	0.632653
ADAMTS2_179139572	0.623650	0.673469
ADAMTS2_179344511	0.743191	0.673469
ADAMTS2_179344566	0.743191	0.734694
ADAMTS2_179344615	0.743191	0.795918
ADAMTS3_72307413	0.294383	0.387755
ADAMTS4_161194390	0.450523	0.163265
ADAMTS6_65300362	0.353450	0.346939
ADAMTS7_78762106	0.623938	0.510204
ADAMTS7_78769232	0.573742	0.571429
ADAMTS7_78777788	0.514753	0.632653
ADAMTS7_78797449	0.582257	0.632653
ADAMTS8_130410417	0.497577	0.448980
ADAMTS8_130413403	0.477816	0.571429
ADAMTS9_64533565	0.429535	0.510204
ADAMTS9_64566067	0.367291	0.346939
ADAMTS9_64647578	0.393710	0.428571
ADAMTSL1_18683467	0.347968	0.591837
ADAMTSL2_133532684	0.636273	0.571429
ADAMTSL2_133543187	0.548731	0.653061
ADAMTSL2_133544293	0.548731	0.632653
ADAMTSL2_133547280	0.554389	0.612245
ADAMTSL2_133550723	0.554389	0.612245
ADAMTSL2_133557704	0.574141	0.551020
ADAMTSL2_133563134	0.606028	0.530612
ADAMTSL2_133563432	0.606028	0.571429
ADAMTSL2_133563540	0.606028	0.693878
ADAMTSL2_133571941	0.634183	0.632653
ADAMTSL3_83990921	0.415527	0.571429
ADAMTSL3_84016177	0.447527	0.428571
ADAMTSL3_84037322	0.453652	0.469388
ADAMTSL3_84037326	0.453652	0.448980
ADAP1_899614	0.674304	0.673469
ADAP1_899759	0.674304	0.632653
ADAP1_928819	0.582016	0.448980
ADAP1_934500	0.582016	0.673469
ADAP2_30926375	0.498136	0.469388
ADAP2_30930775	0.493763	0.428571
ADARB1_45134483	0.501221	0.653061
ADARB1_45152517	0.471354	0.653061
ADARB1_45178701	0.496589	0.571429
ADARB1_45181231	0.461682	0.510204
ADARB1_45181546	0.461682	0.551020
ADARB2_1183926	0.522468	0.673469
ADAR_154585894	0.457143	0.306122
ADAR_154589676	0.469388	0.551020
ADAR_154595958	0.425332	0.448980
ADAR_154596616	0.425332	0.346939
ADAR_154604221	0.454613	0.387755
ADAT1_75609149	0.418254	0.408163
ADAT1_75621929	0.436157	0.693878
ADAT2_143429478	0.416754	0.306122
ADA_44632403	0.534930	0.428571
ADA_44634741	0.534930	0.448980
ADCK1_77818805	0.476725	0.306122
ADCK1_77927117	0.505220	0.530612
ADCK2_140678061	0.494655	0.489796
ADCK5_144379309	0.570373	0.551020
ADCK5_144388944	0.540323	0.632653
ADCY10_167832737	0.432220	0.469388
ADCY10_167855409	0.442985	0.510204
ADCY10_167857639	0.396495	0.306122
ADCY10_167857650	0.396495	0.408163
ADCY10_167860180	0.420676	0.285714
ADCY10_167860453	0.420676	0.551020
ADCY10_167860755	0.420676	0.448980
ADCY10_167899779	0.399902	0.448980
ADCY10_167904318	0.482517	0.632653
ADCY1_45649063	0.501288	0.387755
ADCY1_45649252	0.501288	0.510204
ADCY1_45661546	0.555733	0.551020
ADCY1_45706698	0.391374	0.285714
ADCY1_45709872	0.529326	0.530612
ADCY1_45710474	0.529326	0.551020
ADCY2_7414557	0.410163	0.306122
ADCY2_7707495	0.373599	0.551020
ADCY2_7823203	0.470061	0.367347
ADCY3_24836393	0.553535	0.551020
ADCY3_24836711	0.553535	0.510204
ADCY3_24838318	0.526090	0.653061
ADCY3_24840031	0.597392	0.551020
ADCY4_24328585	0.521339	0.448980
ADCY4_24333039	0.544850	0.510204
ADCY5_123291836	0.560442	0.448980
ADCY5_123330024	0.561841	0.571429
ADCY6_48772742	0.460541	0.489796
ADCY6_48775230	0.608871	0.632653
ADCY7_50290307	0.516619	0.591837
ADCY7_50290363	0.516619	0.653061
ADCY7_50292176	0.622108	0.612245
ADCY7_50292951	0.628788	0.632653
ADCY7_50295788	0.567437	0.571429
ADCY8_130785219	0.414077	0.489796
ADCY9_3977830	0.520539	0.530612
ADCY9_3985478	0.577526	0.693878
ADCY9_3989791	0.480157	0.428571
ADCY9_4023535	0.452411	0.571429
ADCYAP1R1_31085902	0.539851	0.448980
ADCYAP1R1_31086626	0.540741	0.612245
ADCYAP1R1_31089643	0.354356	0.367347
ADD1_2903875	0.459647	0.489796
ADD1_2906633	0.442611	0.428571
ADD1_2907186	0.442611	0.428571
ADD1_2910216	0.501354	0.367347
ADD1_2926991	0.551020	0.510204
ADD1_2927517	0.551020	0.653061
ADD2_70664643	0.490046	0.551020
ADD2_70678601	0.508475	0.510204
ADD2_70683512	0.384100	0.530612
ADD2_70687639	0.457049	0.448980
ADD2_70709240	0.466707	0.469388
ADD3_110116207	0.424170	0.448980
ADD3_110127676	0.394144	0.510204
ADGB_146728385	0.409512	0.428571
ADGB_146736304	0.335630	0.469388
ADGRA1_133100332	0.623697	0.632653
ADGRA1_133100421	0.623697	0.714286
ADGRA1_133101082	0.623697	0.591837
ADGRA2_37830252	0.555396	0.408163
ADGRA2_37836292	0.582143	0.591837
ADGRA2_37837035	0.582143	0.510204
ADGRA2_37837082	0.582143	0.489796
ADGRA3_22417413	0.353415	0.428571
ADGRB1_142476333	0.663857	0.714286
ADGRB1_142489789	0.629407	0.653061
ADGRB1_142524593	0.649531	0.653061
ADGRB1_142532307	0.615269	0.632653
ADGRB1_142533630	0.625284	0.693878
ADGRB1_142534133	0.625284	0.653061
ADGRB1_142535793	0.625284	0.653061
ADGRB2_31739729	0.506897	0.510204
ADGRB2_31757733	0.595417	0.653061
ADGRB3_69337780	0.318097	0.285714
ADGRD1_131003942	0.561721	0.816327
ADGRD1_131008137	0.541774	0.408163
ADGRD1_131011454	0.541774	0.530612
ADGRD1_131107754	0.562631	0.306122
ADGRD1_131108404	0.562631	0.571429
ADGRD1_131135874	0.568009	0.591837
ADGRD1_131138879	0.632196	0.632653
ADGRD2_124452995	0.605769	0.653061
ADGRD2_124469944	0.615222	0.530612
ADGRD2_124475194	0.580004	0.632653
ADGRD2_124475809	0.616734	0.673469
ADGRD2_124476087	0.616734	0.591837
ADGRE1_6898514	0.436561	0.408163
ADGRE1_6910729	0.394467	0.448980
ADGRE1_6915351	0.440860	0.346939
ADGRE1_6919848	0.473282	0.448980
ADGRE1_6934160	0.470996	0.469388
ADGRE2_14737524	0.426481	0.326531
ADGRE2_14764021	0.436874	0.489796
ADGRE3_14630368	0.379285	0.469388
ADGRF1_47004232	0.370440	0.428571
ADGRF1_47011767	0.375592	0.530612
ADGRF1_47015043	0.416479	0.551020
ADGRF1_47028084	0.437855	0.428571
ADGRF1_47028152	0.437855	0.448980
