locus_id	gene	chrom	locus_start	locus_end	locus_strand	splice_score	snaptron_id	intron_start	intron_end	samples_count	coverage_sum	coverage_avg	coverage_median	left_annotated	right_annotated	source_dataset_id	annotated
GNL2_37583693	GNL2	chr1	37583693	37583694	-	0.252193	998522	37582937	37583693	6552	12938	1.975	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
CCDC30_42541365	CCDC30	chr1	42541365	42541366	+	0.058216	1084422	42541367	42545409	359	721	2.008	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
CLDN19_42737544	CLDN19	chr1	42737544	42737545	-	0.11283	1088560	42736031	42737544	490	1397	2.851	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
CLDN19_42737544	CLDN19	chr1	42737544	42737545	-	0.11283	1088570	42736096	42737544	1	1	1.0	1.0	cH38	cH38	2	1
ERMAP_42828349	ERMAP	chr1	42828349	42828350	+	0.164292	1091449	42828351	42830443	161	184	1.143	1.0	aC19,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
CFAP57_43183589	CFAP57	chr1	43183589	43183590	+	0.245242	1097101	43181851	43183590	2904	13636	4.696	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
TIE1_43321614	TIE1	chr1	43321614	43321615	+	0.197738	1100312	43321493	43321615	18107	1101003	60.805	37.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
RNF220_44632571	RNF220	chr1	44632571	44632572	+	0.038777	1130201	44632573	44635544	8826	16743	1.897	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
KIF2C_44746390	KIF2C	chr1	44746390	44746391	+	0.128274	1134317	44746392	44747383	155	227	1.465	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
KIF2C_44746390	KIF2C	chr1	44746390	44746391	+	0.128274	1134313	44746392	44746533	2	3	1.5	1.5	aC19,sG19,sG38	aC19,sG19,sG38	2	1
PLK3_44803598	PLK3	chr1	44803598	44803599	+	0.431979	1138298	44803392	44803599	19017	711726	37.426	28.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
PLK3_44803598	PLK3	chr1	44803598	44803599	+	0.431979	1138269	44803154	44803599	5526	14623	2.646	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
MAST2_46028766	MAST2	chr1	46028766	46028767	+	0.058101	1165828	46027864	46028767	19009	1048874	55.178	38.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
STIL_47261262	STIL	chr1	47261262	47261263	-	0.180152	1194619	47260540	47261262	2642	4563	1.727	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
SLC5A9_48236024	SLC5A9	chr1	48236024	48236025	+	0.29129	1204425	48236026	48237678	1632	2968	1.819	1.0	aC19,cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
SPATA6_48403372	SPATA6	chr1	48403372	48403373	-	0.046892	1206483	48402796	48403372	9	9	1.0	1.0	cH38	cH38	2	1
OSBPL9_51776831	OSBPL9	chr1	51776831	51776832	+	0.018831	1229752	51772724	51776832	19066	1295627	67.955	54.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
NRDC_51815381	NRDC	chr1	51815381	51815382	-	0.157664	1232421	51814814	51815381	183	201	1.098	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
BTF3L4_52060662	BTF3L4	chr1	52060662	52060663	+	0.043862	1236145	52060660	52064824	3964	7055	1.78	1.0	aC19,gC19,gC24,gC25,gC26,gC29,gC33,kG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
ZFYVE9_52337218	ZFYVE9	chr1	52337218	52337219	+	0.148089	1239836	52337220	52337771	344	1408	4.093	3.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
ORC1_52388235	ORC1	chr1	52388235	52388236	-	0.123289	1241900	52385950	52388235	304	382	1.257	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	2	1
ORC1_52394553	ORC1	chr1	52394553	52394554	-	0.049055	1242046	52393804	52394553	2568	5293	2.061	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
PRPF38A_52405312	PRPF38A	chr1	52405312	52405313	+	0.23191	1242364	52405314	52405679	8123	15352	1.89	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
SCP2_52960165	SCP2	chr1	52960165	52960166	+	0.065493	1256836	52960167	52961502	2767	3630	1.312	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
LEXM_54814568	LEXM	chr1	54814568	54814569	+	0.062121	1297695	54814570	54814913	304	707	2.326	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
PRKAA2_56706468	PRKAA2	chr1	56706468	56706469	+	0.323514	1312154	56706470	56707474	7643	17632	2.307	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
MYSM1_58699622	MYSM1	chr1	58699622	58699623	-	0.130954	1322359	58695208	58699622	3383	4719	1.395	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
UBE2U_64204782	UBE2U	chr1	64204782	64204783	+	0.03954	1361514	64204784	64205638	360	1300	3.611	3.0	cH38,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
CACHD1_64660395	CACHD1	chr1	64660395	64660396	+	0.25146	1363726	64660397	64663694	129	142	1.101	1.0	aC19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
LEPR_65613041	LEPR	chr1	65613041	65613042	+	0.134957	1373852	65613043	65616007	3449	6715	1.947	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
IL12RB2_67387206	IL12RB2	chr1	67387206	67387207	+	0.081276	1383572	67387208	67390028	350	433	1.237	1.0	aC19,cH38,kG19,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
GNG12_67705744	GNG12	chr1	67705744	67705745	-	0.09624	1387967	67705577	67705744	281	676	2.406	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
DIRAS3_68047890	DIRAS3	chr1	68047890	68047891	-	0.102225	1389342	68047363	68047890	296	366	1.236	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
DEPDC1_68486141	DEPDC1	chr1	68486141	68486142	-	0.008422	1392702	68484091	68486141	215	286	1.33	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
ANKRD13C_70293503	ANKRD13C	chr1	70293503	70293504	-	0.183496	1400493	70292550	70293503	15242	50423	3.308	3.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38,sG38	2	1
ANKRD13C_70293503	ANKRD13C	chr1	70293503	70293504	-	0.183496	1400505	70293424	70293503	69	76	1.101	1.0	sG38	cH38,sG38	2	1
SLC44A5_75213563	SLC44A5	chr1	75213563	75213564	-	0.059889	1418074	75211553	75213563	486	700	1.44	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	2	1
CLCA1_86475523	CLCA1	chr1	86475523	86475524	+	0.141047	1476594	86475525	86476447	8	13	1.625	1.5	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
GBP7_89134799	GBP7	chr1	89134799	89134800	-	0.412275	1495359	89133452	89134799	374	1545	4.131	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
TGFBR3_91713529	TGFBR3	chr1	91713529	91713530	-	0.177995	1511291	91712543	91713529	2441	4011	1.643	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
RPAP2_92300501	RPAP2	chr1	92300501	92300502	+	0.068956	1516383	92300503	92301475	1862	3485	1.872	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
FRRS1_99749001	FRRS1	chr1	99749001	99749002	-	0.278357	1566430	99749002	99766606	6329	18641	2.945	2.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,rG19,rG38,sG19,sG38,vG19	2	1
FRRS1_99749001	FRRS1	chr1	99749001	99749002	-	0.278357	1566425	99749002	99765296	435	557	1.28	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	2	1
FRRS1_99749001	FRRS1	chr1	99749001	99749002	-	0.278357	1566406	99749002	99749767	156	168	1.077	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
EXTL2_100876032	EXTL2	chr1	100876032	100876033	-	0.242331	1576896	100874431	100876032	6265	10616	1.694	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
COL11A1_102895364	COL11A1	chr1	102895364	102895365	-	0.076896	1585007	102890505	102895364	3621	9985	2.758	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
VAV3_107754740	VAV3	chr1	107754740	107754741	-	0.320036	1604795	107751203	107754740	176	421	2.392	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
MYBPHL_109295612	MYBPHL	chr1	109295612	109295613	-	0.169977	1628576	109295298	109295612	1520	2870	1.888	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	2	1
CAPZA1_112651619	CAPZA1	chr1	112651619	112651620	+	0.224126	1683545	112651621	112653597	6011	13340	2.219	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	2	1
