chr	start	end	decoyID	SpliceAI_score	strand	rbpnet	prpf8	smb	n_categories	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Adipose_b	Adipose_c	Adipose_d	Adrenal_b	Adrenal_c	Amnion	Astrocytes	Bladder_a	Bone_marrow_a	Bone_marrow_b	Bone_marrow_c	Brain_Endoth	Breast_a	Breast_Epith_a	Cerebellum_a	Cerebellum_c	Chorion	CL_293T	CL_EndoBH1C_a	CL_Gm12878	CL_HeLa	CL_K562	CL_LP1	CL_MB231	CL_MCF7	CL_PNT2	CL_SHSY5Y_noRA	CL_SHSY5Y_RA	Colon_b	Colon_sigmoid	Colon_transverse	Cortex	Decidua	Embr_2C_a_A	Embr_2C_a_B	Embr_4C_a_A	Embr_4C_a_B	Embr_4C_a_C	Embr_8C_a_A	Embr_8C_a_B	Embr_8C_a_C	Embr_8C_a_D	Embr_Cortex_13_17wpc	Embr_Forebrain_9_12wpc	Embr_Forebrain_St13_14	Embr_Forebrain_St17_20	Embr_Forebrain_St22_23	Embr_ICM_a_A	Embr_Morula_a_A	Embr_Morula_a_B	Embr_TE_a_A	Embr_TE_a_B	EndomStromCells	EndothCells	EpithelialCells	ESC_H1_a	ESC_H1_b	ESC_H1_c	ESC_H1_d	ESC_H9_a	ESC_H9_b	Fibroblasts	Frontal_Gyrus_old	Frontal_Gyrus_young	GLS_cells	Heart_a	Heart_b	Heart_c	HFDPC	HMEpC_a	iPS_a	iPS_b	Kidney_d	Kidney_e	Kidney_f	Liver_a	Liver_b	Liver_c	Lung_b	Lung_e	Lung_f	Lymph_node_b	Lymph_node_c	Melanocytes	Microglia	MonoNucCells	MSC	Muscle_b	Muscle_d	Muscle_e	NCC_Cranial_c	NCC_default_b	NCC_Enteric_b	NCC_Melano_biased_b	Neuroblastoma	Neurons	Neurons_Cortex_KCl_0h	Neurons_Cortex_KCl_1h	Neurons_Cortex_KCl_6h	NPC_a	NPC_b	Oligodendrocytes	Oocyte_a_A	Ovary_a	Ovary_b	Pancreas_Acinar_Old	Pancreas_Acinar_Young	Pancreas_Alpha_Old	Pancreas_Alpha_Young	Pancreas_Beta_Old	Pancreas_Beta_Young	Pancreas_Duct_Old	Pancreas_Duct_Young	Placenta_a	Placenta_b	Placenta_c	Placenta_Epith	Prostate_b	Prostate_c	Prostate_d	Retina_a	Retina_macular	Retina_peripheral	Skin_a	Skin_b	Skin_c	Skin_d	Small_intestine	Spleen_a	Spleen_b	Stomach_a	Stomach_b	Sup_Temporal_Gyrus	Testis_a	Testis_b	Testis_c	Thymus_a	Thymus_b	Thyroid_b	Thyroid_c	Thyroid_d	WBC_d	WBC_e	Whole_Brain_b	Zygote_a_A	psi_chr	intron_start	intron_end	intron_length	decoy_coord_1based	decoy_distance_from_canonical_5ss
chr2	69531600	69531601	AAK1_69531600	0.108421	-	1	0	1	2	AAK1	HsaINT0000198	chr2:69530707-69532040	1334	chr2:69532041-69532162=69530625-69530706:-	IR	15.53	6.67	0	4.64	7.96	0	2.69	12.24	1.47	3.6	10	2.17	12	35.67	3.33	4.58	0	0	0	2.27	5	0	0	0	10.17	0.83	14.29	17.65	11.11	13.11	15.79	3.7	0		0	0	0	0	10	0	0	0	2.64	2.95	10.64	4.76	7.55	0	0	36.84		0	0	10.08	5.56	3.45	2	0	2.63	0	28	9.72	0	1.2	2.5	7.32	16.23	4.08	8.82	4	1.47	0.33	15.38	16.67	9.4	0	28.74	7.69	22.64	5.26	0	0	3.85	25.49	6.8	30.93	11.67	0	20	4.35	4.56	3.45	0	0	1.75	3.09	6.67	10.07	7.25	1.2	0	6.06	0	0	13.73	3.34	5.72	6.53	12.27	6.45	10.01	3.95	7.52	2.5	15.79	15.79	14.19	13.46	3.23	0.61	0	0.36	0.24	11.11	49.38	24.36	22.39	10.11	21.69	1.96	2.7	13.41	3.64	1.82	16.91	2.49	34.38	13.8	17.45	6.45	1.63	0	0	9.63	0	chr2	69530707	69532040	1334	69531601	439
chr17	42957828	42957829	AARSD1_42957828	0.144405	-	0	0	1	1	AARSD1	HsaINT0000269	chr17:42957196-42961191	3996	chr17:42961192-42961351=42957138-42957195:-	IR	7.11		6.34	8.66	11.84	11.63	67.44	2.57	40.74	3.4	5.69		0.39	5.56	3.72	4.5	12.5	3.32	7.64	8.22	4.55	4.37	0.61	0.43	2.41	3.77	9.02	6.84	4.52	11.21	15.09	3.35	7.69		0		0	0	4.97		6.6	0	3.76	6.19	10.92	11.11	11.41	0	0	0	0	0	2.13	9.29	16.19	2.8	3.6	9.28	5.45	3.82	2.35	5.07	5.55	4.33	5.2	2.98	10		20.42	5.94	8.96	7.54	8.57	2.35	7.51	0.6	8.97	4.27	3.7	12.81	3.56	3.28	3.11	0	80	37.78	13.3	0.24	9.87	10.77	2.68	2.46	2.79	1.32	6.12	33.33	6.16	3.83	3.45	4	1.48	36.84	0	9.35	6.17	24.44	62.79	60.34	56.25	56.04	58.62	39.68	39.53	5.52	8.33	3.3	13.27	14.03	3.24	3.88	1.82	0.86	2.67	6.46	4.23	15.23	13.98	3.96	17.73	5.34	78.57	8.13	1.62	2.91	17.65	5.51	9.09	13.21	14.29	5.95	2.23	5.33	0.41	5.58	0	chr17	42957196	42961191	3996	42957829	3362
chr16	70260447	70260448	AARS_70260447	0.257019	-	1	0	1	2	AARS	HsaINT0000223	chr16:70259187-70261043	1857	chr16:70261044-70261157=70258980-70259186:-	IR	0.7		0.25	0.31	1.2	3.78	1.86	0.51	0.83	0.52	0	0	1.05	0	0.97	0.92	1.54	0.47	0.22	0.53	0.57	0.21	0.07	0.45	1.25	0	0.8	1.47	0.58	0.28	0.33	0.39	1.01	0	0	0	0	0	0	0		0	0.61	0.8	1.94	0.81	1.18	0	0	0	0	0	0	1.01	1.35	0.4	0.87	0.53	0.24	0.42	1.5	0.08	0.4	0.33	2.37	0.96	0.64		1.27	0.54	0.56	0.22	2.16	0	0.89	0	1.01	0.45	1.76	1.42	0.19	0.44	0.29	1.26	0	0	1.76	0.25	1.15	0.46	0.77	0.19	0	0	0	0	0.61	0.38	1.02	0.46	0.65	0	0	0.69	0.97	4.68	7.02	2.55	2.21	4.15	1.78	0.77	1.69	0.88	2.72	2.49	1.18	2.1	0.49	0.27	0.29	0.15	0.23	1.13	3.21	3.04	3.21	1.05	2.11	0.15	10.29	2.28	0.15	1.55	2.82	2.37	7.12	1.44	1.07	0.76	0.35	0	0	0.58	0	chr16	70259187	70261043	1857	70260448	595
chr17	36988418	36988419	AATF_36988418	0.165509	+	1	0	1	2	AATF	HsaINT0000328	chr17:36986732-36988518	1787	chr17:36986617-36986731=36988519-36988720:+	IR	1.28		0.71	0	1.47	0	3.08	0	0.83	0.17	0.4	0	2.86	2.84	0	1.81	0	0	0	0.14	0	0.29	0	0.14	0.37	0	1.4	1.64	0	0.76	1.49	0	0	0	0	0	0	0	0	0	0	0	0.05	0.14	0	0.36	0.25	0	0	0.06	0	0	0	5.11	1.8	0	0	0.24	0	0	2.58	0	0	0	1.05	0	0.67		3.91	0.84	0.81	0	3.85	0	4.12	0	4.35	0	4	0.58	0	0.09	0.07	0	8.57	13.49	8.55	0	0	0	0.1	0.45	0	0	0	5.88	1.47	4.58	1.37	0	0	0	0	0	0.41	3.26	3.1	4.88	4.25	5.93	6.71	2.57	3.28	0.15	3.82	1.73	4.08	0.69	0	0	0	0	0	2.65	5.31	6.16	7.04	2.87	9.68	0	21.74	3.85	0	0	8.64	0	8.27	9.73	6.21	0.71	0.14	0.36	0	0.22	0	chr17	36986732	36988518	1787	36988419	1687
chr17	81166531	81166532	AATK-AS1_81166531	0.338985	+	0	1	0	1	AATK-AS1	HsaINT1000034	chr17:81165748-81166676	929	chr17:81165507-81165747=81166677-81166844:+	IR				100				100		100				100	100	100		100	100								100	100	100	100		100											100	100	100	100	100							100		100	100	100	100	100			100	100	100		100					100					100				100					100				100	100	100	100		100			100		100						100		100	100	100	100	100				100				100	100	100	100					100	100	100		100	100	100	100				100	100	100	100	100	100		chr17	81165748	81166676	929	81166532	784
chr17	81124442	81124443	AATK_81124442	0.330512	-	0	1	0	1	AATK	HsaINT0000345	chr17:81123344-81124726	1383	chr17:81124727-81124848=81123194-81123343:-	IR	19.15		4.23	0	6.96			13.51		8.8	4.75		68.63	64.84	2.58	5.35	0	8.35	7.5					100	0	0	0	0	11.52	6.87	1.63	6.14	21.47										5.28	3.16	20.74	10.99	9.81							4.74	92.21	0	7.63	9.86	19.21	21.47		0	9.82	4.35	24.89	0	37.41			92.53	81.4	100	0	61.45	13.01	0	28.09	0	34.88	13.97	8.82	0	21.47	19.47		7.32		0	0	11.11	4.92	0	0	0	0		0	4.74	0	28.49	0				16.67	100	100	87.3	84.08	72.53	100	100	35.35	12.03	25	100	100	58.63	0	21.75	7.25	0.74	13.31		11.11	0	0	14.98	22.23	10.02	100	22.89	2.57	7.69	58.8	13.24	100		7.18	6.67	6.66	4.26	3.24	10.64		chr17	81123344	81124726	1383	81124443	283
chr17	69221257	69221258	ABCA10_69221257	0.10404	-	1	0	0	1	ABCA10	HsaINT0000446	chr17:69219772-69221791	2020	chr17:69221792-69221895=69219545-69219771:-	IR	11.86		0	0	7.69			0	100	0	33.33		0	31.29	0	13.64			33.33	11.11					60			100	0	22.22	34.25				0				0			0	0	0		100	100							21.74	33.33							0	0	0	27.27	61.9	21.03		25.4	33.33			12.5		14.29		18.18	13.21	7.69	5.88	0		100			0	12.07	0	7.14	5.88						33.33	100	100	0			100		0	1.9	22.22	31.25	67.27	64.29	69.23	47.54	71.43	50	0		33.33	23.08	0		0		11.69	1.64	8.57	1.96	11.11	13.85	6.67	66.67	25	0	20.83		0	51.72	0	33.33	60	10.61	6.38	0			16.67		chr17	69219772	69221791	2020	69221258	533
chr7	48247709	48247710	ABCA13_48247709	0.327978	+	1	0	0	1	ABCA13	HsaINT0000506	chr7:48246031-48248238	2208	chr7:48245863-48246030=48248239-48248444:+	IR							34.65		100	0	0			0																									0						0	0	0						0	0	0		0				100			0					0	0	100				0		0		6.74	0				0		100					100		0				0		0			0							100	0		0	0	0	34.65	0						0.65	0		0	15.02			0			0			0	0	0	0	4.79	7.04	0		0			chr7	48246031	48248238	2208	48247710	1679
chr7	48280005	48280006	ABCA13_48280005	0.351871	+	1	0	0	1	ABCA13	HsaINT0000511	chr7:48279921-48281342	1422	chr7:48278094-48279920=48281343-48281452:+	IR							100			39.42	51.92		0			100						100								100														0	0	100	100						0		53.55						100			0	100		100		70.37	46.37	100		22.58		52.94		38.46		57.14	38.46	0			66.67													50.52	14.29	44.19	100				100	100						100	22.08			20			100				41.94	7.66		72.73	100	100	100	83.73	36.84		100		100	50.68	31.71	26.83		77.52	33.33	34.25	0	100			chr7	48279921	48281342	1422	48280006	85
chr7	48374700	48374701	ABCA13_48374700	0.233141	+	1	0	0	1	ABCA13	HsaINT0000529	chr7:48374417-48376440	2024	chr7:48374347-48374416=48376441-48376572:+	IR					0					10.02	9.17																														0	0		0	0	0			0													0			49.28				0	0					0		10.83		7.12	4.21	0			0							100						0	0	19.54					0	59.3				100			0			0	32.69						19.54	0		27.98	0		0	10.08						19.54	0	100	8.85	3.43	2.63	0	0	0			chr7	48374417	48376440	2024	48374701	284
chr7	48510287	48510288	ABCA13_48510287	0.228264	+	1	0	0	1	ABCA13	HsaINT0000547	chr7:48508050-48511083	3034	chr7:48507872-48508049=48511084-48511199:+	IR								0		1.51	2.87				0	0	0					33.98				0			100			0												0		0	33.33					0	0		42.86					0								50.72		8			0		0		0		2.04	0	0			0							100						0							0	100	33.98				0	50.36	0			0			0				0	0		10.44		0	0	20.47					7.14	7.04	0.64		0	0	4.28	1.49	9.09	0			chr7	48508050	48511083	3034	48510288	2238
chr16	2280551	2280552	ABCA3_2280551	0.107671	-	1	0	0	1	ABCA3	HsaINT0000647	chr16:2279131-2281026	1896	chr16:2281027-2281221=2278943-2279130:-	IR	0		0	0	1.82	0	0	0		0	0	0	0	4.11	2.12	0.23	0	0.63	0.47	1.08		0.47	0	0	0.47	0	0	1.45	0	1.18	20	0.32	0	0	0	0	0	0	0			0	1.33	0.84	2.51	2.38	0.94		0	0				3.79	0	0	0	0	0	0	0	0	0.64	0.74	1.69	0	0		33.98	0	0.73	0	0	0.99	0.7	0	38.46	0	2.88	0.78	0.37	0.48	0.79			0	12.1	0	0	0	4	0	0	0	0		0.41	0.38	0.53	0	0			0.6	0	0	0	3.85	7.52	6.14	3.23	50.36	20.47	0	0	0	100	0	0	0	0	0.09	0.14	0	0	2.65	3.23	0	7.5	0	0	0	0.27	0.9	8.7	0.17	4.55	0	3.38	0.18	0	3.32	0	1.85	0	chr16	2279131	2281026	1896	2280552	474
chr1	94080154	94080155	ABCA4_94080154	0.109048	-	1	0	0	1	ABCA4	HsaINT1000127	chr1:94079462-94080477	1016	chr1:94080478-94080718=94079322-94079461:-	IR		100	0				0							7.69		0	0								0	0						0				0	0							0	3.23	0						0		100	0					0	33.33							0	100	0			0		6.67																100	0					100						0			100	100	0					0		0	20				100	0.08	0.64	1.23		20			0							50	0				0	0			0		chr1	94079462	94080477	1016	94080155	322
chr1	94102591	94102592	ABCA4_94102591	0.289338	-	1	0	0	1	ABCA4	HsaINT1000124	chr1:94098992-94103014	4023	chr1:94103015-94103142=94098794-94098991:-	IR		0					0							0		0										0								100	100		100	100		100				27.27	0	0				0											100		0						0				0		0							100									33.33	0	0	0			0						100						100						0	21.47					2.43	6.41	5.42		0	100										0								0	0	chr1	94098992	94103014	4023	94102592	422
chr1	94118567	94118568	ABCA4_94118567	0.276798	-	1	0	0	1	ABCA4	HsaINT1000103	chr1:94113067-94120979	7913	chr1:94120980-94121132=94112973-94113066:-	IR							0																			100																		0	0									100							100												0		14.29																100	0		0												100		100	100	100	100										0.22	0.65	0.35												16.67			100						0		chr1	94113067	94120979	7913	94118568	2411
