species	max1	pos1	max2	pos2	d	packed
macEug2	0.641627	49	0.182982	381	0.151549	[0.641627][49][0.182982][381][0.151549]
ornAna1	0.675337	49	0.406391	396	0.102876	[0.675337][49][0.406391][396][0.102876]
colLiv1	0.897664	49	0.002878	372	0.179204	[0.897664][49][0.002878][372][0.179204]
falChe1	0.771866	49	0.031786	383	0.250000	[0.771866][49][0.031786][383][0.250000]
falPer1	0.773089	49	0.034589	383	0.250000	[0.773089][49][0.034589][383][0.250000]
ficAlb2	0.733366	49	0.006939	289	0.238938	[0.733366][49][0.006939][289][0.238938]
zonAlb1	0.704745	49	0.019364	386	0.148230	[0.704745][49][0.019364][386][0.148230]
geoFor1	0.640057	49	0.110905	421	0.154867	[0.640057][49][0.110905][421][0.154867]
taeGut2	0.678271	49	0.020845	386	0.157080	[0.678271][49][0.020845][386][0.157080]
pseHum1	0.733816	49	0.002179	148	0.283186	[0.733816][49][0.002179][148][0.283186]
melUnd1	0.765466	49	0.014614	499	0.203540	[0.765466][49][0.014614][499][0.203540]
araMac1	0.743142	49	0.007560	441	0.163717	[0.743142][49][0.007560][441][0.163717]
anaPla1	0.717274	49	0.048264	345	0.251106	[0.717274][49][0.048264][345][0.251106]
galGal4	0.772168	49	0.004589	243	0.563053	[0.772168][49][0.004589][243][0.563053]
melGal1	0.718657	49	0.073808	273	0.448009	[0.718657][49][0.073808][273][0.448009]
allMis1	0.540332	49	0.011210	737	0.109513	[0.540332][49][0.011210][737][0.109513]
cheMyd1	0.539160	49	0.001035	429	0.106195	[0.539160][49][0.001035][429][0.106195]
chrPic2	0.495223	49	0.002300	462	0.105088	[0.495223][49][0.002300][462][0.105088]
pelSin1	0.673371	49	0.002719	80	0.159292	[0.673371][49][0.002719][80][0.159292]
apaSpi1	0.661682	49	0.106020	431	0.141593	[0.661682][49][0.106020][431][0.141593]
anoCar2	0.742691	49	0.012355	539	0.196903	[0.742691][49][0.012355][539][0.196903]
latCha1	0.958199	49	0.062864	72	0.009956	[0.958199][49][0.062864][72][0.009956]
neoBri1	0.928599	49	0.000127	263	0.685841	[0.928599][49][0.000127][263][0.685841]
oryLat2	0.636006	49	0.061458	298	0.226770	[0.636006][49][0.061458][298][0.226770]
astMex1	0.953039	49	0.000154	253	0.680310	[0.953039][49][0.000154][253][0.680310]
lepOcu1	0.742762	49	0.057636	146	0.680310	[0.742762][49][0.057636][146][0.680310]
amaVit1	0.627104	49	0.001395	160	0.707965	[0.627104][49][0.001395][160][0.707965]
hapBur1	0.851547	49	0.005328	72	0.759956	[0.851547][49][0.005328][72][0.759956]
mayZeb1	0.853407	49	0.005368	72	0.759956	[0.853407][49][0.005368][72][0.759956]
punNye1	0.865849	49	0.004097	72	0.752212	[0.865849][49][0.004097][72][0.752212]
gadMor1	0.820779	49	0.000255	114	0.771018	[0.820779][49][0.000255][114][0.771018]
xenTro7	0.707334	49	0.000046	81	0.828540	[0.707334][49][0.000046][81][0.828540]
oreNil2	0.736575	49	0.001589	72	0.834071	[0.736575][49][0.001589][72][0.834071]
xipMac1	0.699908	49	-1.000000	-1	0.929204	[0.699908][49][-1.000000][-1][0.929204]
tetNig2	0.301867	49	-1.000000	-1	0.935841	[0.301867][49][-1.000000][-1][0.935841]
fr3	0.526725	49	-1.000000	-1	0.935841	[0.526725][49][-1.000000][-1][0.935841]
takFla1	0.526725	49	-1.000000	-1	0.935841	[0.526725][49][-1.000000][-1][0.935841]
petMar2	0.886102	49	-1.000000	-1	0.932522	[0.886102][49][-1.000000][-1][0.932522]
danRer10	0.794255	49	-1.000000	-1	0.938053	[0.794255][49][-1.000000][-1][0.938053]
gasAcu1	0.419420	49	-1.000000	-1	0.941372	[0.419420][49][-1.000000][-1][0.941372]
