candidate_group	GENE	EVENT	COORD	intron_length	chr	strand	decoyID	start	end	decoy_coord_1based	decoy_distance_from_canonical_5ss	intron_start	intron_end	mESC_lift_Chr	mESC_lift_Start	mESC_lift_End	mESC_ir_Chr	mESC_ir_Start	mESC_ir_End	mESC_ir_gene	mESC_IRratio_mean	mESC_IR_overlap_bp	psi_count_ge10	psi_count_ge10_brain	brain_retained	SpliceAI_score	phastCons100_mean	phastCons470_mean	MaxEnt_decoy	MaxEnt_canonical
	AARS2	HsaINT0000255	chr6:44307395-44310298	2904	chr6	-	AARS2_44307928	44307928	44307929	44307929	2369	44307395	44310298	chr17	45511719	45511823	chr17	45509541	45514491	Aars2	0.338122666666667	105	111	21	TRUE	0.191148	0.0552404	0.0329071	10.36	10.67
	AARS	HsaINT0000223	chr16:70259187-70261043	1857	chr16	-	AARS_70260447	70260447	70260448	70260448	595	70259187	70261043	chr8	111048562	111048627	chr8	111048026	111049698	Aars	0.127620666666667	66	1	0	FALSE	0.257019	0.0294141	0.0210243	8.99	10.03
	AASDHPPT	HsaINT0000296	chr11:106090679-106091315	637	chr11	+	AASDHPPT_106091093	106091093	106091094	106091094	415	106090679	106091315	chr9	4302961	4303012	chr9	4302632	4303093	Aasdhppt	0.116690133333333	52	11	2	FALSE	0.016715	0.0277033	0.101167	-1.25	-13.33
	AASDH	HsaINT0000285	chr4:56338792-56342834	4043	chr4	-	AASDH_56342407	56342407	56342408	56342408	426	56338792	56342834	chr5	76876423	76876466	chr5	76876423	76878403	Aasdh	0.393833666666667	44	31	8	TRUE	0.067604	0.171783	0.0504212	7.48	8.55
	AASDH	HsaINT0000282	chr4:56345291-56349262	3972	chr4	-	AASDH_56346389	56346389	56346390	56346390	2872	56345291	56349262	chr5	76881795	76881857	chr5	76880074	76882266	Aasdh	0.0765402666666667	63	110	22	TRUE	0.203403	0.0465378	0.0524866	10.67	10.24
	AASDH	HsaINT1000030	chr4:56350059-56351341	1283	chr4	-	AASDH_56350624	56350624	56350625	56350625	716	56350059	56351341	chr5	76883210	76883325	chr5	76883063	76884085	Aasdh	0.220841666666667	116	25	2	FALSE	0.021255	0.0720413	0.0972022	8.91	6.82
	AASS	HsaINT0000318	chr7:122116958-122118306	1349	chr7	-	AASS_122117323	122117323	122117324	122117324	982	122116958	122118306	chr6	23113990	23114082	chr6	23097203	23127496	Aass	0	93	22	2	FALSE	0.135804	0.0316783	0.06511	9.85	9.01
	AATF	HsaINT0000328	chr17:36986732-36988518	1787	chr17	+	AATF_36988418	36988418	36988419	36988419	1687	36986732	36988518	chr11	84471728	84471822	chr11	84471287	84473051	Aatf	0.0112536133333333	95	2	0	FALSE	0.165509	0.130619	0.148374	11.08	-17
	ABAT	HsaINT0000356	chr16:8750540-8757756	7217	chr16	+	ABAT_8752000	8752000	8752001	8752001	1461	8750540	8757756	chr16	8584291	8584408	chr16	8582783	8588885	Abat	0	118	10	1	FALSE	0.355433	0.0336798	0.024959	9.43	-20.99
	ABCA10	HsaINT0000418	chr17:69192654-69193109	456	chr17	-	ABCA10_69192901	69192901	69192902	69192902	207	69192654	69193109	chr11	110068901	110068942	chr11	110068869	110069374	Abca8a	0	42	66	13	TRUE	0.076958	0.0252412	0.0124189	4.41	3.02
	ABCA10	HsaINT0000446	chr17:69219772-69221791	2020	chr17	-	ABCA10_69221257	69221257	69221258	69221258	533	69219772	69221791	chr11	110083537	110083557	chr11	110083537	110084161	Abca8a	0	21	51	9	TRUE	0.10404	0.0140777	0.0200075	8.88	9.82
	ABCA12	HsaINT0000468	chr2:214976038-214978315	2278	chr2	-	ABCA12_214976907	214976907	214976908	214976908	1407	214976038	214978315	chr1	71281543	71281718	chr1	71280594	71282801	Abca12	0	176	17	2	FALSE	0.012583	0.251016	0.288958	1.6	6.56
	ABCA12	HsaINT0000468	chr2:214976038-214978315	2278	chr2	-	ABCA12_214976909	214976909	214976910	214976910	1405	214976038	214978315	chr1	71281543	71281718	chr1	71280594	71282801	Abca12	0	176	17	2	FALSE	0.009282	0.251016	0.288958	6.3	6.56
	ABCA12	HsaINT0000466	chr2:214979041-214980482	1442	chr2	-	ABCA12_214980172	214980172	214980173	214980173	309	214979041	214980482	chr1	71284244	71284315	chr1	71284182	71285577	Abca12	0	72	22	3	TRUE	0.009638	0.0350583	0.0361222	6.02	9.45
	ABCA12	HsaINT0000490	chr2:215018133-215019335	1203	chr2	-	ABCA12_215018913	215018913	215018914	215018914	421	215018133	215019335	chr1	71320187	71320349	chr1	71319995	71321399	Abca12	0	163	15	5	TRUE	0.003494	0.291601	0.340726	6.35	2.28
	ABCA12	HsaINT1000065	chr2:215049812-215052486	2675	chr2	-	ABCA12_215050793	215050793	215050794	215050794	1692	215049812	215052486	chr1	71350155	71350427	chr1	71349203	71351707	Abca12	0	273	12	2	FALSE	0.043379	0.143282	0.206101	8.73	9.01
	ABCA13	HsaINT0000506	chr7:48246031-48248238	2208	chr7	+	ABCA13_48247709	48247709	48247710	48247710	1679	48246031	48248238	chr11	9275956	9276046	chr11	9275188	9276910	Abca13	0	91	9	1	FALSE	0.327978	0.00771332	0.0120871	8.66	-40.8
	ABCA13	HsaINT0000511	chr7:48279921-48281342	1422	chr7	+	ABCA13_48280005	48280005	48280006	48280006	85	48279921	48281342	chr11	9299816	9299925	chr11	9298885	9301259	Abca13	0	110	47	9	TRUE	0.351871	0.00977918	0.0132911	9.65	-10.29
	ABCA13	HsaINT1000083	chr7:48335536-48338364	2829	chr7	+	ABCA13_48338183	48338183	48338184	48338184	2648	48335536	48338364	chr11	9346081	9346186	chr11	9346054	9354825	Abca13	0	106	3	1	FALSE	0.067333	0.010976	0.0119516	10.22	-28.47
	ABCA13	HsaINT0000528	chr7:48372498-48374346	1849	chr7	+	ABCA13_48373531	48373531	48373532	48373532	1034	48372498	48374346	chr11	9399808	9399970	chr11	9399465	9402145	Abca13	0	163	22	2	FALSE	0.009026	0.0152055	0.0463813	7.12	-28.76
	ABCA13	HsaINT0000529	chr7:48374417-48376440	2024	chr7	+	ABCA13_48374700	48374700	48374701	48374701	284	48374417	48376440	chr11	9403548	9403615	chr11	9402216	9403786	Abca13	0	68	13	2	FALSE	0.233141	0.0423918	0.0118202	10.1	-19.83
	ABCA13	HsaINT0000543	chr7:48483164-48489235	6072	chr7	+	ABCA13_48484311	48484311	48484312	48484312	1148	48483164	48489235	chr11	9537673	9537806	chr11	9534533	9542061	Abca13	0	134	10	0	FALSE	0.15354	0.0354025	0.0419449	6.36	-10.29
	ABCA13	HsaINT0000547	chr7:48508050-48511083	3034	chr7	+	ABCA13_48510287	48510287	48510288	48510288	2238	48508050	48511083	chr11	9569074	9569183	chr11	9567846	9570544	Abca13	0	110	11	1	FALSE	0.228264	0.00783092	0.00540602	10.06	-13.9
	ABCA13	HsaINT0000549	chr7:48516882-48520040	3159	chr7	+	ABCA13_48517853	48517853	48517854	48517854	972	48516882	48520040	chr11	9578418	9578550	chr11	9577308	9581493	Abca13	0	133	4	1	FALSE	0.075994	0.0216122	0.00826686	8.56	-22.49
	ABCA13	HsaINT0000553	chr7:48580375-48587153	6779	chr7	+	ABCA13_48584459	48584459	48584460	48584460	4085	48580375	48587153	chr11	9621503	9621625	chr11	9615808	9621870	Abca13	0	123	5	0	FALSE	0.079832	0.0158544	0.0236153	7.29	-25.1
	ABCA3	HsaINT0000647	chr16:2279131-2281026	1896	chr16	-	ABCA3_2280551	2280551	2280552	2280552	474	2279131	2281026	chr17	24405676	24405721	chr17	24405440	24407557	Abca3	0.0143613	46	7	0	FALSE	0.107671	0.00542405	0.0113864	9.26	8.23
	ABCA3	HsaINT0000639	chr16:2288330-2289433	1104	chr16	-	ABCA3_2288394	2288394	2288395	2288395	1038	2288330	2289433	chr17	24396733	24396778	chr17	24392987	24399884	Abca3	0	46	3	0	FALSE	0.043532	0.00911141	0.010964	8.56	7.93
	ABCA3	HsaINT1000101	chr16:2297540-2297765	226	chr16	-	ABCA3_2297539	2297539	2297540	2297540	225	2297540	2297765	chr17	24386102	24386164	chr17	24385973	24386181	Abca3	0.5	63	6	0	FALSE	0.10174	0.0444115	0.0437212	4.87	5.28
	ABCA3	HsaINT0000630	chr16:2300149-2303968	3820	chr16	-	ABCA3_2302222	2302222	2302223	2302223	1745	2300149	2303968	chr17	24383669	24383770	chr17	24382081	24383899	Abca3	0.4671682	102	19	1	FALSE	0.017135	0.0386788	0.0217883	5.51	10.13
	ABCA3	HsaINT0000654	chr16:2324532-2326009	1478	chr16	-	ABCA3_2325313	2325313	2325314	2325314	695	2324532	2326009	chr17	24365345	24365431	chr17	24364958	24366085	Abca3	0	87	2	1	FALSE	0.06589	0.0139005	0.0197314	6.57	7.66
	ABCA4	HsaINT1000127	chr1:94079462-94080477	1016	chr1	-	ABCA4_94080154	94080154	94080155	94080155	322	94079462	94080477	chr3	122084654	122084758	chr3	122084093	122085533	Abca4	0	105	12	1	FALSE	0.109048	0.275522	0.301921	6.66	10.08
	ABCA4	HsaINT1000124	chr1:94098992-94103014	4023	chr1	-	ABCA4_94102591	94102591	94102592	94102592	422	94098992	94103014	chr3	122065421	122065498	chr3	122062700	122068964	Abca4	0	78	13	1	FALSE	0.289338	0.0487917	0.0657728	9.88	9.46
	ABCA4	HsaINT1000110	chr1:94111580-94112972	1393	chr1	-	ABCA4_94111972	94111972	94111973	94111973	999	94111580	94112972	chr3	122053510	122053585	chr3	122052996	122054191	Abca4	0	76	7	0	FALSE	0.063204	0.0282326	0.0422464	6.59	6.12
	ABCA4	HsaINT1000103	chr1:94113067-94120979	7913	chr1	-	ABCA4_94118567	94118567	94118568	94118568	2411	94113067	94120979	chr3	122048918	122049042	chr3	122044613	122052901	Abca4	0	125	12	0	FALSE	0.276798	0.0517969	0.0666937	8.91	8.92
	ABCA5	HsaINT0000711	chr17:69287752-69289176	1425	chr17	-	ABCA5_69288298	69288298	69288299	69288299	877	69287752	69289176	chr11	110303161	110303236	chr11	110303132	110304092	Abca5	0	76	2	0	FALSE	0.007592	0.0373747	0.0380723	4.89	8.88
	ABCA5	HsaINT0000709	chr17:69290038-69291215	1178	chr17	-	ABCA5_69290176	69290176	69290177	69290177	1038	69290038	69291215	chr11	110305159	110305253	chr11	110305026	110306244	Abca5	0	95	2	1	FALSE	0.009375	0.0579813	0.0888141	4.51	10.13
	ABCA5	HsaINT0000708	chr17:69291327-69294654	3328	chr17	-	ABCA5_69293363	69293363	69293364	69293364	1290	69291327	69294654	chr11	110308561	110308645	chr11	110306356	110309389	Abca5	0.02384571	85	1	1	FALSE	0.034236	0.0833732	0.0606838	7.55	9.82
	ABCA5	HsaINT0000742	chr17:69297360-69301138	3779	chr17	-	ABCA5_69297924	69297924	69297925	69297925	3213	69297360	69301138	chr11	110311251	110311298	chr11	110310306	110311310	Abca5	0	48	14	1	FALSE	0.045992	0.0769121	0.0647009	6.95	9.37
	ABCA5	HsaINT0000738	chr17:69306955-69308279	1325	chr17	-	ABCA5_69307084	69307084	69307085	69307085	1194	69306955	69308279	chr11	110319212	110319295	chr11	110317932	110319793	Abca5	0	84	10	2	FALSE	0.091538	0.0409049	0.0754823	9.99	8.76
	ABCA5	HsaINT0000729	chr17:69308369-69309261	893	chr17	-	ABCA5_69308453	69308453	69308454	69308454	807	69308369	69309261	chr11	110325896	110325977	chr11	110319883	110326559	Abca5	0	82	7	0	FALSE	0.053506	0.0483012	0.0967089	7.03	8.39
	ABCA6	HsaINT0000773	chr17:69081146-69082872	1727	chr17	-	ABCA6_69081145	69081145	69081146	69081146	1726	69081146	69082872	chr11	110179576	110179649	chr11	110178852	110180226	Abca6	0	74	12	4	TRUE	0.317735	0.0137649	0.0171615	6.49	8.68
	ABCA6	HsaINT0000759	chr17:69096802-69097919	1118	chr17	-	ABCA6_69097451	69097451	69097452	69097452	467	69096802	69097919	chr11	110201868	110202001	chr11	110197180	110202325	Abca6	0	134	15	1	FALSE	0.106299	0.0166136	0.025962	6.93	10.57
	ABCA6	HsaINT0000756	chr17:69102969-69105461	2493	chr17	-	ABCA6_69103646	69103646	69103647	69103647	1814	69102969	69105461	chr11	110210586	110210683	chr11	110210219	110211656	Abca6	0	98	30	7	TRUE	0.01539	0.0183161	0.0256293	7.91	5.07
	ABCA6	HsaINT0000756	chr17:69102969-69105461	2493	chr17	-	ABCA6_69103815	69103815	69103816	69103816	1645	69102969	69105461	chr11	110210586	110210683	chr11	110210219	110211656	Abca6	0	98	30	7	TRUE	0.07404	0.0183161	0.0256293	9.14	5.07
	ABCA6	HsaINT0000745	chr17:69117957-69123238	5282	chr17	-	ABCA6_69122224	69122224	69122225	69122225	1013	69117957	69123238	chr11	110231078	110231208	chr11	110230548	110232054	Abca6	0	131	24	3	TRUE	0.317319	0.0338289	0.0266817	9.65	6.99
	ABCA6	HsaINT0000781	chr17:69123408-69124887	1480	chr17	-	ABCA6_69124377	69124377	69124378	69124378	509	69123408	69124887	chr11	110232514	110232609	chr11	110232224	110233694	Abca6	0	96	19	1	FALSE	0.016316	0.0273142	0.048098	6.58	7.52
	ABCA7	HsaINT0000792	chr19:1051053-1051154	102	chr19	+	ABCA7_1051121	1051121	1051122	1051122	69	1051053	1051154	chr10	80004851	80004894	chr10	80004851	80004953	Abca7	0.202642666666667	44	23	1	FALSE	0.003278	0.0561863	0.0854412	2.93	-37.24
	ABCA8	HsaINT0000852	chr17:68876704-68877518	815	chr17	-	ABCA8_68876703	68876703	68876704	68876704	814	68876704	68877518	chr11	109938106	109938176	chr11	109937969	109938438	Abca8b	0	71	35	7	TRUE	0.288935	0.00954356	0.00867906	8.02	5.08
	ABCA8	HsaINT0000849	chr17:68881212-68881862	651	chr17	-	ABCA8_68881401	68881401	68881402	68881402	460	68881212	68881862	chr11	109941125	109941216	chr11	109940904	109941545	Abca8b	0	92	29	7	TRUE	0.026922	0.0120737	0.0112025	8.66	6.1
	ABCA8	HsaINT0000846	chr17:68883883-68884330	448	chr17	-	ABCA8_68884154	68884154	68884155	68884155	175	68883883	68884330	chr11	109946083	109946162	chr11	109945859	109946244	Abca8b	0.333333333333333	80	40	10	TRUE	0.053666	0.0359844	0.0238594	9.43	4.37
	ABCA8	HsaINT0000842	chr17:68887507-68891488	3982	chr17	-	ABCA8_68889857	68889857	68889858	68889858	1630	68887507	68891488	chr11	109950268	109950320	chr11	109950208	109950628	Abca8b	0	53	13	2	FALSE	0.21038	0.0401208	0.0223054	10.67	8.49
	ABCA8	HsaINT0000850	chr17:68937116-68940757	3642	chr17	-	ABCA8_68938263	68938263	68938264	68938264	2493	68937116	68940757	chr11	110088239	110088318	chr11	110086631	110089909	Abca8a	0	80	7	3	TRUE	0.052386	0.0934679	0.0210957	7.21	10.86
	ABCA8	HsaINT0000839	chr17:68940963-68941938	976	chr17	-	ABCA8_68941736	68941736	68941737	68941737	201	68940963	68941938	chr11	109981129	109981182	chr11	109981055	109981677	Abca8b	0	54	2	0	FALSE	0.004897	0.0111404	0.0159659	2.68	6.56
	ABCA9	HsaINT0000888	chr17:68989119-68989812	694	chr17	-	ABCA9_68989543	68989543	68989544	68989544	268	68989119	68989812	chr11	110113501	110113572	chr11	110113284	110114223	Abca9	0	72	80	16	TRUE	0.007303	0.0258689	0.0189269	6.25	5.64
	ABCA9	HsaINT0000883	chr17:68993085-68995894	2810	chr17	-	ABCA9_68993408	68993408	68993409	68993409	2485	68993085	68995894	chr11	110120334	110120424	chr11	110118150	110120663	Abca9	0	91	81	14	TRUE	0.378209	0.011606	0.0142813	11.08	11.08
	ABCA9	HsaINT0000873	chr17:69021862-69024213	2352	chr17	-	ABCA9_69022911	69022911	69022912	69022912	1301	69021862	69024213	chr11	110141289	110141352	chr11	110139639	110141508	Abca9	0	64	20	1	FALSE	0.090901	0.0170918	0.0141689	9.66	8.88
	ABCA9	HsaINT0000887	chr17:69045337-69049282	3946	chr17	-	ABCA9_69048428	69048428	69048429	69048429	853	69045337	69049282	chr11	110162847	110162921	chr11	110159058	110163170	Abca9	0	75	14	1	FALSE	0.149282	0.0897899	0.0524803	9.39	9.79
	ABCB11	HsaINT0000961	chr2:168924804-168927155	2352	chr2	-	ABCB11_168926299	168926299	168926300	168926300	855	168924804	168927155	chr2	69244426	69244514	chr2	69243562	69245744	Abcb11	0	89	6	1	FALSE	0.153615	0.0505816	0.0521339	10.24	10.03
	ABCB11	HsaINT0000958	chr2:168932534-168935183	2650	chr2	-	ABCB11_168933498	168933498	168933499	168933499	1684	168932534	168935183	chr2	69257713	69257812	chr2	69257364	69259482	Abcb11	0	100	15	4	TRUE	0.077435	0.0393381	0.04499	9.6	10.07
	ABCB11	HsaINT1000146	chr2:168969552-168970044	493	chr2	-	ABCB11_168969608	168969608	168969609	168969609	435	168969552	168970044	chr2	69284792	69284882	chr2	69284792	69285209	Abcb11	0	91	9	2	FALSE	0.099875	0.0284483	0.0616187	8.68	7.81
	ABCB11	HsaINT0000964	chr2:169013511-169014302	792	chr2	-	ABCB11_169013717	169013717	169013718	169013718	584	169013511	169014302	chr2	69324790	69324859	chr2	69324071	69325143	Abcb11	0	70	20	6	TRUE	0.003422	0.123217	0.187558	5.55	4.19
	ABCB11	HsaINT0000963	chr2:169014355-169016777	2423	chr2	-	ABCB11_169015189	169015189	169015190	169015190	1587	169014355	169016777	chr2	69325214	69325310	chr2	69325196	69327976	Abcb11	0	97	18	3	TRUE	0.002641	0.0457759	0.0764354	7.23	11
	ABCB1	HsaINT0000919	chr7:87516666-87519325	2660	chr7	-	ABCB1_87518685	87518685	87518686	87518686	639	87516666	87519325	chr5	8733793	8733894	chr5	8733740	8737614	Abcb1a	0.0325868666666667	102	10	1	FALSE	0.088674	0.033318	0.0252689	7.07	8.3
	ABCB1	HsaINT0000913	chr7:87539346-87541356	2011	chr7	-	ABCB1_87539363	87539363	87539364	87539364	1992	87539346	87541356	chr5	8719336	8719416	chr5	8719087	8719990	Abcb1a	0.0146843	81	24	0	FALSE	0.105318	0.0133148	0.0153899	9.79	8.76
	ABCB1	HsaINT0000910	chr7:87545000-87545862	863	chr7	-	ABCB1_87545644	87545644	87545645	87545645	217	87545000	87545862	chr5	8713349	8713396	chr5	8713349	8714886	Abcb1a	0.0302439866666667	48	3	0	FALSE	0.080572	0.0326141	0.0402561	10.47	8.73
	ABCB1	HsaINT0000930	chr7:87553933-87561262	7330	chr7	-	ABCB1_87555888	87555888	87555889	87555889	5373	87553933	87561262	chr5	8698364	8698454	chr5	8694191	8698485	Abcb1a	0	91	16	2	FALSE	0.065703	0.0491925	0.048209	8.72	5.13
	ABCB1	HsaINT0000924	chr7:87595815-87600116	4302	chr7	-	ABCB1_87597682	87597682	87597683	87597683	2433	87595815	87600116	chr5	8660733	8660834	chr5	8660733	8664545	Abcb1a	0	102	21	1	FALSE	0.314283	0.061069	0.0586752	8.1	9.01
	ABCB4	HsaINT0000980	chr7:87418621-87419997	1377	chr7	-	ABCB4_87418851	87418851	87418852	87418852	1145	87418621	87419997	chr5	8938694	8938824	chr5	8938657	8939833	Abcb4	0	131	43	8	TRUE	0.047157	0.0130697	0.0471786	7.23	9.79
	ABCB4	HsaINT0000979	chr7:87420076-87422120	2045	chr7	-	ABCB4_87421156	87421156	87421157	87421157	963	87420076	87422120	chr5	8937790	8937888	chr5	8936890	8938578	Abcb4	0	99	54	5	TRUE	0.105291	0.0286963	0.0200808	6.95	10.28
	ABCB7	HsaINT0001045	chrX:75065242-75069006	3765	chrX	-	ABCB7_75067208	75067208	75067209	75067209	1797	75065242	75069006	chrX	104298317	104298453	chrX	104296003	104299768	Abcb7	0.00595995333333333	137	35	8	TRUE	0.0569	0.112554	0.178768	8.92	7.51
	ABCC11	HsaINT0001155	chr16:48170219-48170888	670	chr16	-	ABCC11_48170636	48170636	48170637	48170637	251	48170219	48170888	chr8	86506948	86506959	chr8	86506937	86507897	Abcc12	0	12	21	4	TRUE	0.141496	0.0217701	0.0184925	9.57	10.11
	ABCC11	HsaINT1000166	chr16:48224430-48227805	3376	chr16	-	ABCC11_48227103	48227103	48227104	48227104	701	48224430	48227805	chr8	86560940	86560940	chr8	86560940	86563834	Abcc12	0	1	22	3	TRUE	0.134383	0.0369662	0.0192008	10.24	5.73
	ABCC12	HsaINT0001167	chr16:48121841-48124212	2372	chr16	-	ABCC12_48122249	48122249	48122250	48122250	1962	48121841	48124212	chr8	86541947	86542095	chr8	86541465	86543831	Abcc12	0	149	1	1	FALSE	0.008457	0.0151046	0.0243048	1.16	9.88
	ABCC12	HsaINT0001193	chr16:48124285-48128458	4174	chr16	-	ABCC12_48126231	48126231	48126232	48126232	2226	48124285	48128458	chr8	86547697	86547796	chr8	86543904	86548529	Abcc12	0	100	5	1	FALSE	0.045257	0.028637	0.0204322	8.3	8.23
	ABCC12	HsaINT1000190	chr16:48128738-48130787	2050	chr16	-	ABCC12_48130061	48130061	48130062	48130062	725	48128738	48130787	chr8	86549298	86549380	chr8	86548809	86550527	Abcc12	0	83	6	0	FALSE	0.110001	0.0536839	0.0402114	6.08	7.08
	ABCC12	HsaINT1000189	chr16:48130896-48133686	2791	chr16	-	ABCC12_48132351	48132351	48132352	48132352	1334	48130896	48133686	chr8	86552663	86552762	chr8	86550636	86553271	Abcc12	0	100	7	0	FALSE	0.205086	0.0299735	0.0238657	9.27	8.24
	ABCC12	HsaINT1000172	chr16:48144066-48146305	2240	chr16	-	ABCC12_48145174	48145174	48145175	48145175	1130	48144066	48146305	chr8	86564156	86564243	chr8	86563991	86566438	Abcc12	0	88	6	2	FALSE	0.053942	0.0175652	0.0233551	8.68	11
	ABCC1	HsaINT0001091	chr16:16048304-16052723	4420	chr16	+	ABCC1_16052689	16052689	16052690	16052690	4386	16048304	16052723	chr16	14413383	14413439	chr16	14413383	14419699	Abcc1	0.00668383333333333	57	22	5	TRUE	0.249941	0.0413416	0.0159088	10.1	-36.99
	ABCC1	HsaINT0001099	chr16:16102718-16106737	4020	chr16	+	ABCC1_16104011	16104011	16104012	16104012	1294	16102718	16106737	chr16	14458209	14458247	chr16	14457970	14458996	Abcc1	0.0354595666666667	39	79	20	TRUE	0.576172	0.0350769	0.021519	11.37	-21.4
	ABCC1	HsaINT0001105	chr16:16124916-16125809	894	chr16	+	ABCC1_16125159	16125159	16125160	16125160	244	16124916	16125809	chr16	14466429	14466480	chr16	14466231	14466996	Abcc1	0.0252209	52	17	1	FALSE	0.115394	0.0198356	0.00793226	10.03	-22.6
	ABCC2	HsaINT0001200	chr10:99782878-99784607	1730	chr10	+	ABCC2_99784128	99784128	99784129	99784129	1251	99782878	99784607	chr19	43783818	43783935	chr19	43782434	43784182	Abcc2	0	118	20	2	FALSE	0.027371	0.0396879	0.0686665	6.12	-17.25
	ABCC2	HsaINT0001227	chr10:99794469-99797096	2628	chr10	+	ABCC2_99796857	99796857	99796858	99796858	2389	99794469	99797096	chr19	43799259	43799349	chr19	43799146	43800536	Abcc2	0	91	56	8	TRUE	0.218712	0.0727782	0.0581586	5.22	-11.68
	ABCC2	HsaINT0001228	chr10:99797332-99799206	1875	chr10	+	ABCC2_99798777	99798777	99798778	99798778	1446	99797332	99799206	chr19	43800934	43800991	chr19	43800769	43803642	Abcc2	0	58	45	6	TRUE	0.012543	0.0187499	0.0358446	7.76	-28.28
	ABCC2	HsaINT0001230	chr10:99800564-99804018	3455	chr10	+	ABCC2_99803969	99803969	99803970	99803970	3406	99800564	99804018	chr19	43806791	43806943	chr19	43805114	43807009	Abcc2	0	153	20	2	FALSE	0.007279	0.0395887	0.0669494	-6.17	-17
