locus_id	gene	chrom	locus_start	locus_end	locus_strand	splice_score	snaptron_id	intron_start	intron_end	samples_count	coverage_sum	coverage_avg	coverage_median	left_annotated	right_annotated	source_dataset_id	annotated	junction_type
PGD_10417350	PGD	chr1	10417350	10417351	+	0.010296	358091	10417118	10417355	1275	1771	1.389	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	3ss
C1orf127_10957193	C1orf127	chr1	10957193	10957194	-	0.065931	370391	10957108	10957193	318	397	1.248	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	3	1	5ss
CLCN6_11822933	CLCN6	chr1	11822933	11822934	+	0.070673	389962	11822935	11823706	807	979	1.213	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
MIIP_12021643	MIIP	chr1	12021643	12021644	+	0.041673	401624	12019553	12021644	11213	298687	26.638	21.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
MIIP_12021643	MIIP	chr1	12021643	12021644	+	0.041673	401660	12019975	12021644	761	1009	1.326	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
MIIP_12021643	MIIP	chr1	12021643	12021644	+	0.041673	401654	12019654	12021644	596	772	1.295	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
VPS13D_12319495	VPS13D	chr1	12319495	12319496	+	0.451706	408030	12318338	12319496	9896	129606	13.097	8.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
VPS13D_12342660	VPS13D	chr1	12342660	12342661	+	0.312797	408383	12342662	12342898	590	942	1.597	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
PADI1_17228623	PADI1	chr1	17228623	17228624	+	0.067819	504969	17226159	17228624	2438	35397	14.519	3.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
PADI1_17228623	PADI1	chr1	17228623	17228624	+	0.067819	504977	17226421	17228624	660	2151	3.259	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
RCC2_17416210	RCC2	chr1	17416210	17416211	-	0.512773	509558	17414678	17416210	42	45	1.071	1.0	cH38	cH38	3	1	5ss
ARHGEF10L_17639312	ARHGEF10L	chr1	17639312	17639313	+	0.008343	513869	17639314	17639831	2348	3812	1.624	1.0	cH38,sG38	aC19,cH38,gC19,kG19,sG19,sG38	3	1	5ss
ARHGEF10L_17639453	ARHGEF10L	chr1	17639453	17639454	+	0.170752	513892	17639455	17639831	578	743	1.285	1.0	aC19,sG19,sG38	aC19,cH38,gC19,kG19,sG19,sG38	3	1	5ss
VWA5B1_20323272	VWA5B1	chr1	20323272	20323273	+	0.170354	554581	20323274	20323355	75	102	1.36	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
USP48_21756828	USP48	chr1	21756828	21756829	-	0.016881	590104	21756703	21756828	3466	6454	1.862	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
ZBTB40_22510225	ZBTB40	chr1	22510225	22510226	+	0.050976	615935	22510227	22511178	398	1262	3.171	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
EPHA8_22573175	EPHA8	chr1	22573175	22573176	+	0.234789	617154	22573177	22573677	425	1156	2.72	1.0	cH38	cH38	3	1	5ss
EPHA8_22601298	EPHA8	chr1	22601298	22601299	+	0.012532	617426	22601089	22601299	710	2355	3.317	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
PNRC2_23960086	PNRC2	chr1	23960086	23960087	+	0.139513	652038	23960088	23960928	1576	2192	1.391	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
PNRC2_23960086	PNRC2	chr1	23960086	23960087	+	0.139513	652039	23960088	23960932	46	52	1.13	1.0	aC19,cH38,sG19,sG38	cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,vG19	3	1	5ss
IL22RA1_24124047	IL22RA1	chr1	24124047	24124048	-	0.093576	656273	24123424	24124047	107	167	1.561	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
PPP1R8_27831369	PPP1R8	chr1	27831369	27831370	+	0.061825	764820	27831367	27832755	6746	17471	2.59	2.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
RAB42_28592749	RAB42	chr1	28592749	28592750	+	0.088595	795702	28592745	28593693	8320	66283	7.967	3.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
RAB42_28592749	RAB42	chr1	28592749	28592750	+	0.088595	795718	28592751	28593693	217	729	3.359	2.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
TMEM54_32897775	TMEM54	chr1	32897775	32897776	-	0.351227	905418	32895970	32897775	129	145	1.124	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
PHC2_33327347	PHC2	chr1	33327347	33327348	-	0.202087	917417	33325020	33327347	10406	76669	7.368	5.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	3	1	5ss
CSMD2_33523069	CSMD2	chr1	33523069	33523070	-	0.103667	919656	33521551	33523069	389	511	1.314	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
GJB3_34784261	GJB3	chr1	34784261	34784262	+	0.050667	923170	34784263	34784737	263	324	1.232	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
ZMYM1_35099841	ZMYM1	chr1	35099841	35099842	+	0.047155	928774	35099843	35104294	1151	1566	1.361	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
THRAP3_36287870	THRAP3	chr1	36287870	36287871	+	0.301887	964165	36287872	36289059	5741	16053	2.796	2.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
SH3D21_36308210	SH3D21	chr1	36308210	36308211	+	0.02114	965848	36308210	36308388	9660	113510	11.751	6.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
GNL2_37583693	GNL2	chr1	37583693	37583694	-	0.252193	984809	37582937	37583693	2468	4126	1.672	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
CCDC30_42541365	CCDC30	chr1	42541365	42541366	+	0.058216	1067422	42541367	42545409	43	48	1.116	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CLDN19_42737544	CLDN19	chr1	42737544	42737545	-	0.11283	1071394	42736031	42737544	122	215	1.762	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
ERMAP_42828349	ERMAP	chr1	42828349	42828350	+	0.164292	1073799	42828351	42830443	123	156	1.268	1.0	aC19,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CFAP57_43183589	CFAP57	chr1	43183589	43183590	+	0.245242	1080841	43181851	43183590	2542	7243	2.849	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
TIE1_43321614	TIE1	chr1	43321614	43321615	+	0.197738	1084150	43321493	43321615	11247	394021	35.033	23.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
RNF220_44632571	RNF220	chr1	44632571	44632572	+	0.038777	1127813	44632573	44635544	4841	8915	1.842	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
KIF2C_44746390	KIF2C	chr1	44746390	44746391	+	0.128274	1132006	44746392	44747383	5	6	1.2	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
PLK3_44803598	PLK3	chr1	44803598	44803599	+	0.431979	1136458	44803392	44803599	11181	259527	23.211	16.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
PLK3_44803598	PLK3	chr1	44803598	44803599	+	0.431979	1136407	44803154	44803599	1086	1688	1.554	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
MAST2_46028766	MAST2	chr1	46028766	46028767	+	0.058101	1165771	46027864	46028767	11109	285328	25.684	19.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
STIL_47261262	STIL	chr1	47261262	47261263	-	0.180152	1196849	47260540	47261262	2259	3667	1.623	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
SLC5A9_48236024	SLC5A9	chr1	48236024	48236025	+	0.29129	1204278	48236026	48237678	523	856	1.637	1.0	aC19,cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
OSBPL9_51776831	OSBPL9	chr1	51776831	51776832	+	0.018831	1224209	51772724	51776832	11222	524969	46.78	33.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
NRDC_51815381	NRDC	chr1	51815381	51815382	-	0.157664	1226092	51814814	51815381	63	74	1.175	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
BTF3L4_52060662	BTF3L4	chr1	52060662	52060663	+	0.043862	1229477	52060660	52064824	3016	4551	1.509	1.0	aC19,gC19,gC24,gC25,gC26,gC29,gC33,kG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
ZFYVE9_52337218	ZFYVE9	chr1	52337218	52337219	+	0.148089	1233430	52337220	52337771	6	8	1.333	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
ORC1_52388235	ORC1	chr1	52388235	52388236	-	0.123289	1235878	52385950	52388235	102	117	1.147	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	3	1	5ss
ORC1_52394553	ORC1	chr1	52394553	52394554	-	0.049055	1236017	52393804	52394553	2089	3187	1.526	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
PRPF38A_52405312	PRPF38A	chr1	52405312	52405313	+	0.23191	1236294	52405314	52405679	4779	8947	1.872	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
SCP2_52960165	SCP2	chr1	52960165	52960166	+	0.065493	1248767	52960167	52961502	783	952	1.216	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
LEXM_54814568	LEXM	chr1	54814568	54814569	+	0.062121	1280522	54814570	54814913	126	207	1.643	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
PRKAA2_56706468	PRKAA2	chr1	56706468	56706469	+	0.323514	1294791	56706470	56707474	2816	5438	1.931	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
MYSM1_58699622	MYSM1	chr1	58699622	58699623	-	0.130954	1301786	58695208	58699622	1295	1812	1.399	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
UBE2U_64204782	UBE2U	chr1	64204782	64204783	+	0.03954	1336352	64204784	64205638	23	26	1.13	1.0	cH38,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CACHD1_64660395	CACHD1	chr1	64660395	64660396	+	0.25146	1337677	64660397	64663694	31	34	1.097	1.0	aC19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
LEPR_65613041	LEPR	chr1	65613041	65613042	+	0.134957	1346060	65613043	65616007	651	858	1.318	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
IL12RB2_67387206	IL12RB2	chr1	67387206	67387207	+	0.081276	1353034	67387208	67390028	34	60	1.765	1.0	aC19,cH38,kG19,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
GNG12_67705744	GNG12	chr1	67705744	67705745	-	0.09624	1357252	67705577	67705744	14	19	1.357	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
DIRAS3_68047890	DIRAS3	chr1	68047890	68047891	-	0.102225	1358168	68047363	68047890	45	52	1.156	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
DEPDC1_68486141	DEPDC1	chr1	68486141	68486142	-	0.008422	1362856	68484091	68486141	169	209	1.237	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
ANKRD13C_70293503	ANKRD13C	chr1	70293503	70293504	-	0.183496	1367992	70292550	70293503	6495	14201	2.186	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38,sG38	3	1	5ss
ANKRD13C_70293503	ANKRD13C	chr1	70293503	70293504	-	0.183496	1368004	70293424	70293503	12	12	1.0	1.0	sG38	cH38,sG38	3	1	5ss
SLC44A5_75213563	SLC44A5	chr1	75213563	75213564	-	0.059889	1378316	75211553	75213563	173	195	1.127	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	3	1	5ss
GBP7_89134799	GBP7	chr1	89134799	89134800	-	0.412275	1439054	89133452	89134799	44	100	2.273	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
TGFBR3_91713529	TGFBR3	chr1	91713529	91713530	-	0.177995	1452078	91712543	91713529	538	865	1.608	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
RPAP2_92300501	RPAP2	chr1	92300501	92300502	+	0.068956	1455812	92300503	92301475	1286	2939	2.285	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
FRRS1_99749001	FRRS1	chr1	99749001	99749002	-	0.278357	1496995	99749002	99766606	6634	40725	6.139	4.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
FRRS1_99749001	FRRS1	chr1	99749001	99749002	-	0.278357	1496991	99749002	99765296	917	1585	1.728	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
FRRS1_99749001	FRRS1	chr1	99749001	99749002	-	0.278357	1496973	99749002	99749767	93	108	1.161	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	3ss
EXTL2_100876032	EXTL2	chr1	100876032	100876033	-	0.242331	1506128	100874431	100876032	2737	4569	1.669	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
COL11A1_102895364	COL11A1	chr1	102895364	102895365	-	0.076896	1511766	102890505	102895364	1269	2471	1.947	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
VAV3_107754740	VAV3	chr1	107754740	107754741	-	0.320036	1525192	107751203	107754740	330	1205	3.652	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
MYBPHL_109295612	MYBPHL	chr1	109295612	109295613	-	0.169977	1549914	109295298	109295612	161	196	1.217	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	3	1	5ss
CAPZA1_112651619	CAPZA1	chr1	112651619	112651620	+	0.224126	1599952	112651621	112653597	1669	2637	1.58	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
