locus_id	gene	chrom	locus_start	locus_end	locus_strand	splice_score	snaptron_id	intron_start	intron_end	samples_count	coverage_sum	coverage_avg	coverage_median	left_annotated	right_annotated	source_dataset_id	annotated
78	PGD	chr1	10417350	10417351	+	0.010296	2183103	10417118	10417355	19077	31678	1.661	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
82	C1orf127	chr1	10957193	10957194	-	0.065931	2259733	10957108	10957193	3597	7780	2.163	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	0	1
91	CLCN6	chr1	11822933	11822934	+	0.070673	2402006	11822935	11823706	16410	35162	2.143	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
94	MIIP	chr1	12021643	12021644	+	0.041673	2463318	12019553	12021644	163080	3369660	20.663	7.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
94	MIIP	chr1	12021643	12021644	+	0.041673	2463411	12019654	12021644	13258	22862	1.724	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
94	MIIP	chr1	12021643	12021644	+	0.041673	2463457	12019975	12021644	10341	16967	1.641	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
106	VPS13D	chr1	12319495	12319496	+	0.451706	2515512	12318338	12319496	143409	1804014	12.58	6.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
108	VPS13D	chr1	12342660	12342661	+	0.312797	2518255	12342662	12342898	4824	7798	1.617	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
136	PADI1	chr1	17228623	17228624	+	0.067819	3211320	17226159	17228624	15191	232306	15.292	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
136	PADI1	chr1	17228623	17228624	+	0.067819	3211345	17226421	17228624	4379	19772	4.515	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
145	RCC2	chr1	17416210	17416211	-	0.512773	3240027	17414678	17416210	1171	1432	1.223	1.0	cH38	cH38	0	1
149	ARHGEF10L	chr1	17639312	17639313	+	0.008343	3274790	17639314	17639831	15612	28925	1.853	1.0	cH38,sG38	aC19,cH38,gC19,kG19,sG19,sG38	0	1
150	ARHGEF10L	chr1	17639453	17639454	+	0.170752	3274865	17639455	17639831	4685	7327	1.564	1.0	aC19,sG19,sG38	aC19,cH38,gC19,kG19,sG19,sG38	0	1
166	VWA5B1	chr1	20323272	20323273	+	0.170354	3510281	20323274	20323355	940	2106	2.24	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
176	USP48	chr1	21756828	21756829	-	0.016881	3745033	21756703	21756828	76768	311601	4.059	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
180	ZBTB40	chr1	22510225	22510226	+	0.050976	3865641	22510227	22511178	1888	8709	4.613	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
184	EPHA8	chr1	22573175	22573176	+	0.234789	3871989	22573177	22573677	5143	12036	2.34	1.0	cH38	cH38	0	1
186	EPHA8	chr1	22601298	22601299	+	0.012532	3873589	22601089	22601299	6888	20935	3.039	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
191	PNRC2	chr1	23960086	23960087	+	0.139513	4107324	23960088	23960928	12612	19980	1.584	1.0	aC19,cH38,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
191	PNRC2	chr1	23960086	23960087	+	0.139513	4107325	23960088	23960932	471	675	1.433	1.0	aC19,cH38,sG19,sG38	cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,vG19	0	1
195	IL22RA1	chr1	24124047	24124048	-	0.093576	4135091	24123424	24124047	566	968	1.71	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
221	PPP1R8	chr1	27831369	27831370	+	0.061825	4859703	27831367	27832755	87480	327798	3.747	2.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
229	RAB42	chr1	28592749	28592750	+	0.088595	5103572	28592745	28593693	53022	339205	6.397	2.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
229	RAB42	chr1	28592749	28592750	+	0.088595	5103608	28592751	28593693	980	2658	2.712	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
254	TMEM54	chr1	32897775	32897776	-	0.351227	5837738	32895970	32897775	890	1140	1.281	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
256	PHC2	chr1	33327347	33327348	-	0.202087	5902153	33325020	33327347	104337	673284	6.453	3.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,sG19,sG38	0	1
258	CSMD2	chr1	33523069	33523070	-	0.103667	5916649	33521551	33523069	2984	4814	1.613	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
266	GJB3	chr1	34784261	34784262	+	0.050667	5942163	34784263	34784737	1304	1933	1.482	1.0	cH38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
267	ZMYM1	chr1	35099841	35099842	+	0.047155	5980761	35099843	35104294	27995	53363	1.906	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
284	THRAP3	chr1	36287870	36287871	+	0.301887	6241306	36287872	36289059	91264	360457	3.95	2.0	aC19,cH38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
285	SH3D21	chr1	36308210	36308211	+	0.02114	6250332	36308210	36308388	99787	762192	7.638	3.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
292	GNL2	chr1	37583693	37583694	-	0.252193	6367127	37582937	37583693	49014	138750	2.831	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
332	CCDC30	chr1	42541365	42541366	+	0.058216	6987443	42541367	42545409	784	1298	1.656	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
336	CLDN19	chr1	42737544	42737545	-	0.11283	7017897	42736031	42737544	547	1069	1.954	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
341	ERMAP	chr1	42828349	42828350	+	0.164292	7033148	42828351	42830443	2124	2915	1.372	1.0	aC19,sG19,sG38	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
343	CFAP57	chr1	43183589	43183590	+	0.245242	7074285	43181851	43183590	20745	120836	5.825	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
344	TIE1	chr1	43321614	43321615	+	0.197738	7087843	43321493	43321615	67106	2136379	31.836	5.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
353	RNF220	chr1	44632571	44632572	+	0.038777	7286506	44632573	44635544	52924	126721	2.394	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
355	KIF2C	chr1	44746390	44746391	+	0.128274	7314424	44746392	44747383	143	408	2.853	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
355	KIF2C	chr1	44746390	44746391	+	0.128274	7314417	44746392	44746533	14	33	2.357	1.5	aC19,sG19,sG38	aC19,sG19,sG38	0	1
356	PLK3	chr1	44803598	44803599	+	0.431979	7341043	44803392	44803599	163376	3452324	21.131	8.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
356	PLK3	chr1	44803598	44803599	+	0.431979	7340826	44803154	44803599	28006	178615	6.378	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
367	MAST2	chr1	46028766	46028767	+	0.058101	7560027	46027864	46028767	155043	3228689	20.824	9.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
376	STIL	chr1	47261262	47261263	-	0.180152	7730098	47260540	47261262	35114	77196	2.198	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
381	SLC5A9	chr1	48236024	48236025	+	0.29129	7785107	48236026	48237678	3480	7961	2.288	1.0	aC19,cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
382	SPATA6	chr1	48403372	48403373	-	0.046892	7793171	48402796	48403372	4	4	1.0	1.0	cH38	cH38	0	1
388	OSBPL9	chr1	51776831	51776832	+	0.018831	7984163	51772724	51776832	194549	9621220	49.454	17.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
391	NRDC	chr1	51815381	51815382	-	0.157664	7995931	51814814	51815381	2158	2713	1.257	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
393	BTF3L4	chr1	52060662	52060663	+	0.043862	8034361	52060660	52064824	40903	82695	2.022	1.0	aC19,gC19,gC24,gC25,gC26,gC29,gC33,kG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
398	ZFYVE9	chr1	52337218	52337219	+	0.148089	8073759	52337220	52337771	174	400	2.299	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
401	ORC1	chr1	52388235	52388236	-	0.123289	8086954	52385950	52388235	4915	6698	1.363	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	0	1
402	ORC1	chr1	52394553	52394554	-	0.049055	8088360	52393804	52394553	45353	131681	2.903	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
403	PRPF38A	chr1	52405312	52405313	+	0.23191	8090750	52405314	52405679	71915	224295	3.119	2.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
409	SCP2	chr1	52960165	52960166	+	0.065493	8203866	52960167	52961502	12286	19549	1.591	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
419	LEXM	chr1	54814568	54814569	+	0.062121	8406754	54814570	54814913	1600	3726	2.329	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
429	PRKAA2	chr1	56706468	56706469	+	0.323514	8490820	56706470	56707474	31680	96192	3.036	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
439	MYSM1	chr1	58699622	58699623	-	0.130954	8550463	58695208	58699622	36496	81530	2.234	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
462	UBE2U	chr1	64204782	64204783	+	0.03954	8835123	64204784	64205638	200	898	4.49	1.0	cH38,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
466	CACHD1	chr1	64660395	64660396	+	0.25146	8850098	64660397	64663694	573	723	1.262	1.0	aC19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
482	LEPR	chr1	65613041	65613042	+	0.134957	8933923	65613043	65616007	9546	17431	1.826	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
503	IL12RB2	chr1	67387206	67387207	+	0.081276	9010470	67387208	67390028	2990	6025	2.015	1.0	aC19,cH38,kG19,rG19,rG38,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
504	GNG12	chr1	67705744	67705745	-	0.09624	9045359	67705577	67705744	223	416	1.865	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
505	DIRAS3	chr1	68047890	68047891	-	0.102225	9055207	68047363	68047890	701	1427	2.036	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
507	DEPDC1	chr1	68486141	68486142	-	0.008422	9084086	68484091	68486141	9629	15049	1.563	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
515	ANKRD13C	chr1	70293503	70293504	-	0.183496	9141509	70292550	70293503	93892	388665	4.139	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38,sG38	0	1
515	ANKRD13C	chr1	70293503	70293504	-	0.183496	9141566	70293424	70293503	526	742	1.411	1.0	sG38	cH38,sG38	0	1
528	SLC44A5	chr1	75213563	75213564	-	0.059889	9247953	75211553	75213563	2836	3760	1.326	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,sG19,sG38	0	1
587	CLCA1	chr1	86475523	86475524	+	0.141047	9644208	86475525	86476447	86	108	1.256	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
598	GBP7	chr1	89134799	89134800	-	0.412275	9782800	89133452	89134799	348	519	1.491	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
608	TGFBR3	chr1	91713529	91713530	-	0.177995	9915182	91712543	91713529	9793	21944	2.241	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
615	RPAP2	chr1	92300501	92300502	+	0.068956	9963725	92300503	92301475	19260	55890	2.902	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
646	FRRS1	chr1	99749001	99749002	-	0.278357	10335351	99749002	99766606	58738	376819	6.415	3.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG38,rG19,rG38,sG19,sG38,vG19	0	1
646	FRRS1	chr1	99749001	99749002	-	0.278357	10335340	99749002	99765296	6724	16423	2.442	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
646	FRRS1	chr1	99749001	99749002	-	0.278357	10335302	99749002	99749767	1353	1667	1.232	1.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
662	EXTL2	chr1	100876032	100876033	-	0.242331	10413628	100874431	100876032	35856	78935	2.201	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
665	COL11A1	chr1	102895364	102895365	-	0.076896	10465997	102890505	102895364	12797	49081	3.835	2.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
676	VAV3	chr1	107754740	107754741	-	0.320036	10564099	107751203	107754740	1310	5144	3.927	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
687	MYBPHL	chr1	109295612	109295613	-	0.169977	10734012	109295298	109295612	1932	3018	1.562	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
714	CAPZA1	chr1	112651619	112651620	+	0.224126	11033549	112651621	112653597	34899	103818	2.975	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
720	MAGI3	chr1	113656743	113656744	+	0.037869	11167979	113656745	113659079	2253	2762	1.226	1.0	aC19,sG19,sG38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	0	1
746	TTF2	chr1	117097349	117097350	+	0.02971	11409159	117096300	117097350	163171	3690159	22.615	8.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	0	1
767	HMGCS2	chr1	119759611	119759612	-	0.058177	11528001	119759283	119759611	85	143	1.682	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
769	REG4	chr1	119799576	119799577	-	0.042659	11530078	119798603	119799576	1652	5609	3.395	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	cH38	0	1
